"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1895";"Oldambt";"9943";"Oldambt";"00BB";"00";"Obs Letterwies";"9944AR";"NIEUWOLDA";"Groningen";"Bo";"Openbaar";"41613";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9944";"Oldambt";"00BB";"00";"Obs Letterwies";"9944AR";"NIEUWOLDA";"Groningen";"Bo";"Openbaar";"41613";"0";"7";"9";"7";"<5";"8";"5";"12";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9646";"Veendam";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9651";"Midden-Groningen";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9663";"Pekela";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9665";"Pekela";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9671";"Oldambt";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9672";"Oldambt";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9673";"Oldambt";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9674";"Oldambt";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9675";"Oldambt";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9678";"Oldambt";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9682";"Oldambt";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9685";"Oldambt";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9693";"Oldambt";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9695";"Westerwolde";"00CS";"00";"Basisschool De Leilinde";"9671JA";"WINSCHOTEN";"Groningen";"Bo";"Gereformeerd vrijgemaakt";"42607";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9461";"Aa en Hunze";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9501";"Stadskanaal";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9502";"Stadskanaal";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9503";"Stadskanaal";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9521";"Borger-Odoorn";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9581";"Stadskanaal";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9601";"Midden-Groningen";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9602";"Midden-Groningen";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9611";"Midden-Groningen";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1895";"Oldambt";"9615";"Midden-Groningen";"02YR";"06";"Prof W J Bladergroenschool";"9675HL";"WINSCHOTEN";"Groningen";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
