"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0269";"Oldebroek";"8052";"Hattem";"03EH";"00";"De Wereldweide";"8091VK";"WEZEP";"Gelderland";"Bo";"Openbaar";"41345";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0269";"Oldebroek";"8091";"Oldebroek";"03EH";"00";"De Wereldweide";"8091VK";"WEZEP";"Gelderland";"Bo";"Openbaar";"41345";"0";"6";"<5";"7";"10";"5";"6";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0269";"Oldebroek";"8094";"Oldebroek";"03EH";"00";"De Wereldweide";"8091VK";"WEZEP";"Gelderland";"Bo";"Openbaar";"41345";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0269";"Oldebroek";"8096";"Oldebroek";"03EH";"00";"De Wereldweide";"8091VK";"WEZEP";"Gelderland";"Bo";"Openbaar";"41345";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0269";"Oldebroek";"8191";"Heerde";"03EH";"00";"De Wereldweide";"8091VK";"WEZEP";"Gelderland";"Bo";"Openbaar";"41345";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0269";"Oldebroek";"8091";"Oldebroek";"05UO";"00";"Chr Basisschool De Rank";"8091HV";"WEZEP";"Gelderland";"Bo";"Protestants-Christelijk";"41473";"0";"6";"22";"15";"12";"23";"21";"23";"18";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0269";"Oldebroek";"8094";"Oldebroek";"05UO";"00";"Chr Basisschool De Rank";"8091HV";"WEZEP";"Gelderland";"Bo";"Protestants-Christelijk";"41473";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0269";"Oldebroek";"8095";"Oldebroek";"05UO";"00";"Chr Basisschool De Rank";"8091HV";"WEZEP";"Gelderland";"Bo";"Protestants-Christelijk";"41473";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0269";"Oldebroek";"8096";"Oldebroek";"05UO";"00";"Chr Basisschool De Rank";"8091HV";"WEZEP";"Gelderland";"Bo";"Protestants-Christelijk";"41473";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0269";"Oldebroek";"8191";"Heerde";"05UO";"00";"Chr Basisschool De Rank";"8091HV";"WEZEP";"Gelderland";"Bo";"Protestants-Christelijk";"41473";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
