"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0173";"Oldenzaal";"7523";"Enschede";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7532";"Enschede";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7535";"Enschede";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7562";"Oldenzaal";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7571";"Oldenzaal";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7572";"Oldenzaal";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"16";"14";"14";"24";"19";"16";"20";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7573";"Oldenzaal";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7574";"Oldenzaal";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7575";"Oldenzaal";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7576";"Oldenzaal";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"<5";"7";"<5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7577";"Oldenzaal";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7587";"Losser";"04SO";"00";"Nutsschool voor Basisond";"7572BM";"OLDENZAAL";"Overijssel";"Bo";"Algemeen bijzonder";"40964";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"20";"Duitsland";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"40";"Onbekend";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7524";"Enschede";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7556";"Hengelo";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7557";"Hengelo";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7558";"Hengelo";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7562";"Oldenzaal";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7571";"Oldenzaal";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7572";"Oldenzaal";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7573";"Oldenzaal";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7574";"Oldenzaal";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"<5";"<5";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7576";"Oldenzaal";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7577";"Oldenzaal";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"<5";"8";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7586";"Losser";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7587";"Losser";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7596";"Dinkelland";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7631";"Dinkelland";"06UC";"00";"Vrije Sch de Zevenster";"7577JA";"OLDENZAAL";"Overijssel";"Bo";"Antroposofisch";"77456";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7482";"Haaksbergen";"09XH";"00";"Basisschool De Maten";"7576AG";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7562";"Oldenzaal";"09XH";"00";"Basisschool De Maten";"7576AG";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7572";"Oldenzaal";"09XH";"00";"Basisschool De Maten";"7576AG";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7574";"Oldenzaal";"09XH";"00";"Basisschool De Maten";"7576AG";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7576";"Oldenzaal";"09XH";"00";"Basisschool De Maten";"7576AG";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"13";"11";"13";"7";"13";"6";"10";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7577";"Oldenzaal";"09XH";"00";"Basisschool De Maten";"7576AG";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"<5";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"40";"Onbekend";"10PS";"00";"De Leemstee";"7574TX";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7571";"Oldenzaal";"10PS";"00";"De Leemstee";"7574TX";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"<5";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7572";"Oldenzaal";"10PS";"00";"De Leemstee";"7574TX";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7574";"Oldenzaal";"10PS";"00";"De Leemstee";"7574TX";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"13";"18";"14";"16";"21";"21";"18";"26";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7575";"Oldenzaal";"10PS";"00";"De Leemstee";"7574TX";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"<5";"<5";"<5";"<5";"6";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7576";"Oldenzaal";"10PS";"00";"De Leemstee";"7574TX";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7577";"Oldenzaal";"10PS";"00";"De Leemstee";"7574TX";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7587";"Losser";"10PS";"00";"De Leemstee";"7574TX";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7621";"Borne";"10PS";"00";"De Leemstee";"7574TX";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0173";"Oldenzaal";"7511";"Enschede";"11EN";"00";"Drieeenheidsschool";"7573EP";"OLDENZAAL";"Overijssel";"Bo";"Rooms-Katholiek";"75219";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
