"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1773";"Olst-Wijhe";"7419";"Deventer";"03KM";"00";"Ijsselwijs";"8121BR";"OLST";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1773";"Olst-Wijhe";"7431";"Deventer";"03KM";"00";"Ijsselwijs";"8121BR";"OLST";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1773";"Olst-Wijhe";"8012";"Zwolle";"03KM";"00";"Ijsselwijs";"8121BR";"OLST";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1773";"Olst-Wijhe";"8102";"Raalte";"03KM";"00";"Ijsselwijs";"8121BR";"OLST";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1773";"Olst-Wijhe";"8121";"Olst-Wijhe";"03KM";"00";"Ijsselwijs";"8121BR";"OLST";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"37";"48";"56";"42";"34";"49";"39";"34";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1773";"Olst-Wijhe";"8161";"Epe";"03KM";"00";"Ijsselwijs";"8121BR";"OLST";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1773";"Olst-Wijhe";"7676";"Twenterand";"06YZ";"00";"Mijnpleinschool Wijhe";"8131DG";"WIJHE";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1773";"Olst-Wijhe";"8014";"Zwolle";"06YZ";"00";"Mijnpleinschool Wijhe";"8131DG";"WIJHE";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1773";"Olst-Wijhe";"8015";"Zwolle";"06YZ";"00";"Mijnpleinschool Wijhe";"8131DG";"WIJHE";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1773";"Olst-Wijhe";"8016";"Zwolle";"06YZ";"00";"Mijnpleinschool Wijhe";"8131DG";"WIJHE";"Overijssel";"Bo";"Samenwerking PC, RK";"40894";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
