"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0175";"Ommen";"7447";"Hellendoorn";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7683";"Twenterand";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7696";"Hardenberg";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7701";"Hardenberg";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7707";"Hardenberg";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7711";"Dalfsen";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7721";"Dalfsen";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7722";"Dalfsen";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"<5";"<5";"<5";"8";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7731";"Ommen";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"<5";"<5";"5";"10";"6";"6";"15";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7732";"Ommen";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7738";"Ommen";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7772";"Hardenberg";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7776";"Hardenberg";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7797";"Hardenberg";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"8105";"Raalte";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"8131";"Olst-Wijhe";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"8147";"Ommen";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"8148";"Ommen";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"8152";"Dalfsen";"01AK";"00";"SSBO Johan Seckel";"7731BL";"OMMEN";"Overijssel";"Sbo";"Protestants-Christelijk";"62181";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7701";"Hardenberg";"03HK";"00";"Basissch Guido De Bres";"7731ZL";"OMMEN";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41624";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7702";"Hardenberg";"03HK";"00";"Basissch Guido De Bres";"7731ZL";"OMMEN";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41624";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0175";"Ommen";"7707";"Hardenberg";"03HK";"00";"Basissch Guido De Bres";"7731ZL";"OMMEN";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41624";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
