"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0826";"Oosterhout";"4847";"Breda";"03WF";"00";"RK Bs De Achthoek";"4911AT";"DEN HOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40278";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4902";"Oosterhout";"03WF";"00";"RK Bs De Achthoek";"4911AT";"DEN HOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40278";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4903";"Oosterhout";"03WF";"00";"RK Bs De Achthoek";"4911AT";"DEN HOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40278";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4904";"Oosterhout";"03WF";"00";"RK Bs De Achthoek";"4911AT";"DEN HOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40278";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4906";"Oosterhout";"03WF";"00";"RK Bs De Achthoek";"4911AT";"DEN HOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40278";"0";"5";"6";"5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4911";"Oosterhout";"03WF";"00";"RK Bs De Achthoek";"4911AT";"DEN HOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40278";"0";"7";"11";"8";"8";"7";"9";"11";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4921";"Drimmelen";"03WF";"00";"RK Bs De Achthoek";"4911AT";"DEN HOUT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40278";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"40";"Onbekend";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"<5";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4271";"Altena";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4273";"Altena";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4286";"Altena";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4847";"Breda";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4849";"Oosterhout";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4855";"Alphen-Chaam";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4901";"Oosterhout";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"5";"<5";"<5";"<5";"<5";"5";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4902";"Oosterhout";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"<5";"<5";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0826";"Oosterhout";"4903";"Oosterhout";"04FX";"00";"Vrijeschool De Strijene";"4907XZ";"OOSTERHOUT NB";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
