"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0085";"Ooststellingwerf";"8431";"Ooststellingwerf";"04RK";"00";"b.s. De Laweij";"8433KG";"HAULERWIJK";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"8433";"Ooststellingwerf";"04RK";"00";"b.s. De Laweij";"8433KG";"HAULERWIJK";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"21";"21";"19";"19";"17";"25";"22";"19";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"8435";"Ooststellingwerf";"04RK";"00";"b.s. De Laweij";"8433KG";"HAULERWIJK";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"9243";"Opsterland";"04RK";"00";"b.s. De Laweij";"8433KG";"HAULERWIJK";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"9301";"Noordenveld";"04RK";"00";"b.s. De Laweij";"8433KG";"HAULERWIJK";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"9342";"Noordenveld";"04RK";"00";"b.s. De Laweij";"8433KG";"HAULERWIJK";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"9343";"Noordenveld";"04RK";"00";"b.s. De Laweij";"8433KG";"HAULERWIJK";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"9354";"Westerkwartier";"04RK";"00";"b.s. De Laweij";"8433KG";"HAULERWIJK";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"9407";"Assen";"04RK";"00";"b.s. De Laweij";"8433KG";"HAULERWIJK";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"40";"Onbekend";"05MA";"00";"Chr Bs De Mandebrink";"8426BZ";"APPELSCHA";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0085";"Ooststellingwerf";"8424";"Ooststellingwerf";"05MA";"00";"Chr Bs De Mandebrink";"8426BZ";"APPELSCHA";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
