"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0431";"Oostzaan";"1033";"Amsterdam";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1035";"Amsterdam";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"0";"<5";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1121";"Landsmeer";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1501";"Zaanstad";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"<5";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1502";"Zaanstad";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1504";"Zaanstad";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1506";"Zaanstad";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1511";"Oostzaan";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"37";"26";"28";"25";"29";"32";"40";"23";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1541";"Zaanstad";"05RV";"00";"Chr Basissch De Korenaar";"1511VH";"OOSTZAAN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41251";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1024";"Amsterdam";"18KJ";"00";"OBS De Kweekvijver";"1511LK";"OOSTZAAN";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1033";"Amsterdam";"18KJ";"00";"OBS De Kweekvijver";"1511LK";"OOSTZAAN";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1034";"Amsterdam";"18KJ";"00";"OBS De Kweekvijver";"1511LK";"OOSTZAAN";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1037";"Amsterdam";"18KJ";"00";"OBS De Kweekvijver";"1511LK";"OOSTZAAN";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0431";"Oostzaan";"1171";"Haarlemmermeer";"18KJ";"00";"OBS De Kweekvijver";"1511LK";"OOSTZAAN";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
