"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0086";"Opsterland";"7848";"Coevorden";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"Vso";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"7876";"Borger-Odoorn";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"Vso";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"7904";"Hoogeveen";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"Vso";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"8311";"Noordoostpolder";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"So";"Algemeen bijzonder";"42665";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"8321";"Urk";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"So";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"8332";"Steenwijkerland";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"Vso";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"8361";"Steenwijkerland";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"So";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"8374";"Steenwijkerland";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"So";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"8378";"Steenwijkerland";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"So";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"8391";"Weststellingwerf";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"So";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0086";"Opsterland";"8396";"Weststellingwerf";"00LD";"00";"School Lyndensteyn";"9244CL";"BEETSTERZWAAG";"Friesland";"So";"Algemeen bijzonder";"42665";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
