"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1509";"Oude IJsselstreek";"20";"Duitsland";"03LK";"00";"De Oersprong";"7071KS";"ULFT";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"6904";"Zevenaar";"03LK";"00";"De Oersprong";"7071KS";"ULFT";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7064";"Oude IJsselstreek";"03LK";"00";"De Oersprong";"7071KS";"ULFT";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7071";"Oude IJsselstreek";"03LK";"00";"De Oersprong";"7071KS";"ULFT";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"37";"37";"15";"21";"29";"25";"31";"33";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7075";"Oude IJsselstreek";"03LK";"00";"De Oersprong";"7071KS";"ULFT";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7076";"Oude IJsselstreek";"03LK";"00";"De Oersprong";"7071KS";"ULFT";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7081";"Oude IJsselstreek";"03LK";"00";"De Oersprong";"7071KS";"ULFT";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7261";"Berkelland";"03LK";"00";"De Oersprong";"7071KS";"ULFT";"Gelderland";"Bo";"Rooms-Katholiek";"50129";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7006";"Doetinchem";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7011";"Doetinchem";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7054";"Oude IJsselstreek";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7061";"Oude IJsselstreek";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7064";"Oude IJsselstreek";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"32";"33";"27";"24";"23";"35";"32";"32";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7065";"Oude IJsselstreek";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7071";"Oude IJsselstreek";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7075";"Oude IJsselstreek";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7081";"Oude IJsselstreek";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7083";"Oude IJsselstreek";"03QA";"00";"De Plakkenberg";"7064BK";"SILVOLDE";"Gelderland";"Bo";"Rooms-Katholiek";"42828";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7061";"Oude IJsselstreek";"04WR";"00";"Bontebrugschool";"7064LM";"SILVOLDE";"Gelderland";"Bo";"Protestants-Christelijk";"41787";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7064";"Oude IJsselstreek";"04WR";"00";"Bontebrugschool";"7064LM";"SILVOLDE";"Gelderland";"Bo";"Protestants-Christelijk";"41787";"0";"11";"6";"<5";"5";"5";"<5";"6";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7065";"Oude IJsselstreek";"04WR";"00";"Bontebrugschool";"7064LM";"SILVOLDE";"Gelderland";"Bo";"Protestants-Christelijk";"41787";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7071";"Oude IJsselstreek";"04WR";"00";"Bontebrugschool";"7064LM";"SILVOLDE";"Gelderland";"Bo";"Protestants-Christelijk";"41787";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1509";"Oude IJsselstreek";"7075";"Oude IJsselstreek";"04WR";"00";"Bontebrugschool";"7064LM";"SILVOLDE";"Gelderland";"Bo";"Protestants-Christelijk";"41787";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
