"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0437";"Ouder-Amstel";"1092";"Amsterdam";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1101";"Amsterdam";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1102";"Amsterdam";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"6";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1103";"Amsterdam";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1104";"Amsterdam";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"<5";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1107";"Amsterdam";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1111";"Diemen";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1112";"Diemen";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"<5";"<5";"<5";"<5";"9";"6";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1114";"Ouder-Amstel";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1115";"Ouder-Amstel";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"14";"21";"14";"17";"16";"15";"17";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1191";"Ouder-Amstel";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1384";"Amsterdam";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1541";"Zaanstad";"03TT";"00";"A. Bekemaschool";"1115VW";"DUIVENDRECHT";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1077";"Amsterdam";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1082";"Amsterdam";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1097";"Amsterdam";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1106";"Amsterdam";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1111";"Diemen";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1183";"Amstelveen";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1184";"Amstelveen";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"<5";"<5";"6";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1185";"Amstelveen";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1186";"Amstelveen";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1188";"Amstelveen";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1191";"Ouder-Amstel";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"42";"43";"42";"44";"46";"64";"54";"50";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1391";"De Ronde Venen";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"40";"Onbekend";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"4125";"Vijfheerenlanden";"06AY";"00";"Obs Jan Hekman";"1191JP";"OUDERKERK AAN DE AMSTEL";"Noord-Holland";"Bo";"Openbaar";"41580";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1015";"Amsterdam";"08GE";"00";"De Grote Beer";"1115VV";"DUIVENDRECHT";"Noord-Holland";"Bo";"Openbaar";"41595";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0437";"Ouder-Amstel";"1024";"Amsterdam";"08GE";"00";"De Grote Beer";"1115VV";"DUIVENDRECHT";"Noord-Holland";"Bo";"Openbaar";"41595";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
