"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0590";"Papendrecht";"2951";"Alblasserdam";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"2952";"Alblasserdam";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"2953";"Alblasserdam";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"<5";"0";"0";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"2957";"Molenlanden";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"2971";"Molenlanden";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"2983";"Ridderkerk";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3313";"Dordrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3314";"Dordrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3319";"Dordrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3331";"Zwijndrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3332";"Zwijndrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3341";"Hendrik-Ido-Ambacht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3342";"Hendrik-Ido-Ambacht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3343";"Hendrik-Ido-Ambacht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3351";"Papendrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"<5";"<5";"<5";"<5";"8";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3353";"Papendrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3354";"Papendrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3355";"Papendrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3356";"Papendrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3361";"Sliedrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3362";"Sliedrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"<5";"<5";"<5";"<5";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3363";"Sliedrecht";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3371";"Hardinxveld-Giessendam";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"5613";"Eindhoven";"00VW";"00";"De Kameleon";"3351ED";"PAPENDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"2951";"Alblasserdam";"06SJ";"00";"Augustinusschool";"3354BN";"PAPENDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"69643";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"2953";"Alblasserdam";"06SJ";"00";"Augustinusschool";"3354BN";"PAPENDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"69643";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3351";"Papendrecht";"06SJ";"00";"Augustinusschool";"3354BN";"PAPENDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"69643";"0";"9";"<5";"7";"7";"<5";"10";"13";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3352";"Papendrecht";"06SJ";"00";"Augustinusschool";"3354BN";"PAPENDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"69643";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3353";"Papendrecht";"06SJ";"00";"Augustinusschool";"3354BN";"PAPENDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"69643";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3354";"Papendrecht";"06SJ";"00";"Augustinusschool";"3354BN";"PAPENDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"69643";"0";"<5";"<5";"<5";"<5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3355";"Papendrecht";"06SJ";"00";"Augustinusschool";"3354BN";"PAPENDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"69643";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3356";"Papendrecht";"06SJ";"00";"Augustinusschool";"3354BN";"PAPENDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"69643";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"3363";"Sliedrecht";"06SJ";"00";"Augustinusschool";"3354BN";"PAPENDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"69643";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"2861";"Krimpenerwaard";"10NM";"00";"IKC Beatrix";"3351HA";"PAPENDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0590";"Papendrecht";"2951";"Alblasserdam";"10NM";"00";"IKC Beatrix";"3351HA";"PAPENDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
