"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0765";"Pekela";"9514";"Aa en Hunze";"05RE";"00";"Basissch Gr v Prinsterer";"9663GG";"NIEUWE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9644";"Veendam";"05RE";"00";"Basissch Gr v Prinsterer";"9663GG";"NIEUWE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9661";"Stadskanaal";"05RE";"00";"Basissch Gr v Prinsterer";"9663GG";"NIEUWE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9663";"Pekela";"05RE";"00";"Basissch Gr v Prinsterer";"9663GG";"NIEUWE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"21";"24";"21";"17";"22";"15";"21";"14";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9665";"Pekela";"05RE";"00";"Basissch Gr v Prinsterer";"9663GG";"NIEUWE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9686";"Oldambt";"05RE";"00";"Basissch Gr v Prinsterer";"9663GG";"NIEUWE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9642";"Veendam";"05RZ";"00";"Chr Bs De Zevensprong";"9665HS";"OUDE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9663";"Pekela";"05RZ";"00";"Chr Bs De Zevensprong";"9665HS";"OUDE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9665";"Pekela";"05RZ";"00";"Chr Bs De Zevensprong";"9665HS";"OUDE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"7";"13";"5";"15";"7";"15";"13";"20";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9674";"Oldambt";"05RZ";"00";"Chr Bs De Zevensprong";"9665HS";"OUDE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9697";"Westerwolde";"05RZ";"00";"Chr Bs De Zevensprong";"9665HS";"OUDE PEKELA";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0765";"Pekela";"9541";"Westerwolde";"06SQ";"00";"Sint Willibrordusschool";"9665HS";"OUDE PEKELA";"Groningen";"Bo";"Rooms-Katholiek";"45000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
