"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1926";"Pijnacker-Nootdorp";"2263";"Leidschendam-Voorburg";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"So";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2265";"Leidschendam-Voorburg";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"So";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2266";"Leidschendam-Voorburg";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"So";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2266";"Leidschendam-Voorburg";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"Vso";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2271";"Leidschendam-Voorburg";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"Vso";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2272";"Leidschendam-Voorburg";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"Vso";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2273";"Leidschendam-Voorburg";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"Vso";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2274";"Leidschendam-Voorburg";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"Vso";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2275";"Leidschendam-Voorburg";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"Vso";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2281";"Rijswijk";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"So";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1926";"Pijnacker-Nootdorp";"2282";"Rijswijk";"01OY";"00";"Kraaienest";"2631KD";"NOOTDORP";"Zuid-Holland";"So";"Algemeen bijzonder";"20281";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
