"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0439";"Purmerend";"1121";"Landsmeer";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1131";"Edam-Volendam";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1132";"Edam-Volendam";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1141";"Waterland";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1441";"Purmerend";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1442";"Purmerend";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1443";"Purmerend";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1444";"Purmerend";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1445";"Purmerend";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1446";"Purmerend";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1447";"Purmerend";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1448";"Purmerend";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1452";"Waterland";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1456";"Wormerland";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1461";"Purmerend";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1502";"Zaanstad";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0439";"Purmerend";"1508";"Zaanstad";"01KX";"00";"Bets Frijlingschool";"1442EC";"PURMEREND";"Noord-Holland";"So";"Algemeen bijzonder";"41434";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
