"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0273";"Putten";"3853";"Ermelo";"05SJ";"00";"PCB De Wegwijzer";"3882XE";"PUTTEN";"Gelderland";"Bo";"Protestants-Christelijk";"90169";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3881";"Putten";"05SJ";"00";"PCB De Wegwijzer";"3882XE";"PUTTEN";"Gelderland";"Bo";"Protestants-Christelijk";"90169";"0";"10";"8";"6";"9";"11";"16";"5";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3882";"Putten";"05SJ";"00";"PCB De Wegwijzer";"3882XE";"PUTTEN";"Gelderland";"Bo";"Protestants-Christelijk";"90169";"0";"11";"11";"11";"12";"9";"8";"10";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3886";"Barneveld";"05SJ";"00";"PCB De Wegwijzer";"3882XE";"PUTTEN";"Gelderland";"Bo";"Protestants-Christelijk";"90169";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3843";"Harderwijk";"06QC";"00";"Gabrielschool Jenaplan";"3881CC";"PUTTEN";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3851";"Ermelo";"06QC";"00";"Gabrielschool Jenaplan";"3881CC";"PUTTEN";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3853";"Ermelo";"06QC";"00";"Gabrielschool Jenaplan";"3881CC";"PUTTEN";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3881";"Putten";"06QC";"00";"Gabrielschool Jenaplan";"3881CC";"PUTTEN";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"9";"11";"11";"14";"10";"9";"8";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3882";"Putten";"06QC";"00";"Gabrielschool Jenaplan";"3881CC";"PUTTEN";"Gelderland";"Bo";"Rooms-Katholiek";"40950";"0";"23";"27";"15";"11";"22";"27";"25";"22";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3822";"Amersfoort";"09CU";"00";"PCB De Pelikaan";"3882GN";"PUTTEN";"Gelderland";"Bo";"Protestants-Christelijk";"90169";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0273";"Putten";"3844";"Harderwijk";"09CU";"00";"PCB De Pelikaan";"3882GN";"PUTTEN";"Gelderland";"Bo";"Protestants-Christelijk";"90169";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
