"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0177";"Raalte";"8015";"Zwolle";"03TX";"00";"Basisschool St Nicolaas";"8144RG";"LIERDERHOLTHUIS";"Overijssel";"Bo";"Rooms-Katholiek";"40888";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0177";"Raalte";"8055";"Raalte";"03TX";"00";"Basisschool St Nicolaas";"8144RG";"LIERDERHOLTHUIS";"Overijssel";"Bo";"Rooms-Katholiek";"40888";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0177";"Raalte";"8131";"Olst-Wijhe";"03TX";"00";"Basisschool St Nicolaas";"8144RG";"LIERDERHOLTHUIS";"Overijssel";"Bo";"Rooms-Katholiek";"40888";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0177";"Raalte";"8141";"Raalte";"03TX";"00";"Basisschool St Nicolaas";"8144RG";"LIERDERHOLTHUIS";"Overijssel";"Bo";"Rooms-Katholiek";"40888";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0177";"Raalte";"8144";"Raalte";"03TX";"00";"Basisschool St Nicolaas";"8144RG";"LIERDERHOLTHUIS";"Overijssel";"Bo";"Rooms-Katholiek";"40888";"0";"<5";"6";"5";"8";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0177";"Raalte";"7413";"Deventer";"03YN";"00";"Sint Bernadette";"8111PK";"HEETEN";"Overijssel";"Bo";"Rooms-Katholiek";"40894";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0177";"Raalte";"8102";"Raalte";"03YN";"00";"Sint Bernadette";"8111PK";"HEETEN";"Overijssel";"Bo";"Rooms-Katholiek";"40894";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0177";"Raalte";"8111";"Raalte";"03YN";"00";"Sint Bernadette";"8111PK";"HEETEN";"Overijssel";"Bo";"Rooms-Katholiek";"40894";"0";"24";"38";"27";"28";"31";"29";"33";"35";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0177";"Raalte";"8112";"Raalte";"03YN";"00";"Sint Bernadette";"8111PK";"HEETEN";"Overijssel";"Bo";"Rooms-Katholiek";"40894";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0177";"Raalte";"7441";"Hellendoorn";"05HL";"00";"Het Sterrenrijk";"8141BP";"HEINO";"Overijssel";"Bo";"Rooms-Katholiek";"40894";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
