"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0703";"Reimerswaal";"4401";"Reimerswaal";"03IW";"00";"Chr Basissch Het Kompas";"4401HZ";"YERSEKE";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"32";"19";"23";"22";"26";"31";"37";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4414";"Reimerswaal";"03IW";"00";"Chr Basissch Het Kompas";"4401HZ";"YERSEKE";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4415";"Reimerswaal";"03IW";"00";"Chr Basissch Het Kompas";"4401HZ";"YERSEKE";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4416";"Reimerswaal";"03IW";"00";"Chr Basissch Het Kompas";"4401HZ";"YERSEKE";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4417";"Reimerswaal";"03IW";"00";"Chr Basissch Het Kompas";"4401HZ";"YERSEKE";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4481";"Goes";"03IW";"00";"Chr Basissch Het Kompas";"4401HZ";"YERSEKE";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4416";"Reimerswaal";"03KV";"00";"Basisschool Dr A Comrie";"4416DE";"KRUININGEN";"Zeeland";"Bo";"Reformatorisch";"29473";"0";"36";"39";"33";"41";"38";"42";"40";"26";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4413";"Reimerswaal";"04RC";"00";"Chr BS De Bornput";"4415AP";"OOSTDIJK";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4414";"Reimerswaal";"04RC";"00";"Chr BS De Bornput";"4415AP";"OOSTDIJK";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4415";"Reimerswaal";"04RC";"00";"Chr BS De Bornput";"4415AP";"OOSTDIJK";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"10";"11";"9";"16";"16";"11";"12";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4416";"Reimerswaal";"04RC";"00";"Chr BS De Bornput";"4415AP";"OOSTDIJK";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4421";"Kapelle";"04RC";"00";"Chr BS De Bornput";"4415AP";"OOSTDIJK";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4414";"Reimerswaal";"04VL";"00";"Chr Basissch d'n Akker";"4414AL";"WAARDE";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"15";"18";"21";"18";"17";"19";"14";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4411";"Reimerswaal";"05FH";"00";"De Horizon";"4411AE";"RILLAND";"Zeeland";"Bo";"Interconfessioneel";"77533";"0";"15";"10";"8";"16";"14";"14";"11";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4631";"Woensdrecht";"05FH";"00";"De Horizon";"4411AE";"RILLAND";"Zeeland";"Bo";"Interconfessioneel";"77533";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4411";"Reimerswaal";"05SP";"00";"Basisschool De Zandbaan";"4411BL";"RILLAND";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"5";"7";"5";"7";"5";"7";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4414";"Reimerswaal";"05SP";"00";"Basisschool De Zandbaan";"4411BL";"RILLAND";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4401";"Reimerswaal";"06OD";"00";"RK BS Schuttevaer";"4417CD";"HANSWEERT";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4417";"Reimerswaal";"06OD";"00";"RK BS Schuttevaer";"4417CD";"HANSWEERT";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"<5";"6";"12";"10";"9";"9";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4421";"Kapelle";"06OD";"00";"RK BS Schuttevaer";"4417CD";"HANSWEERT";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4423";"Kapelle";"06OD";"00";"RK BS Schuttevaer";"4417CD";"HANSWEERT";"Zeeland";"Bo";"Rooms-Katholiek";"77533";"0";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4413";"Reimerswaal";"07JN";"00";"Julianabasisschool";"4413AH";"KRABBENDIJKE";"Zeeland";"Bo";"Reformatorisch";"29823";"0";"33";"47";"38";"40";"37";"32";"24";"34";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4414";"Reimerswaal";"07JN";"00";"Julianabasisschool";"4413AH";"KRABBENDIJKE";"Zeeland";"Bo";"Reformatorisch";"29823";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4431";"Borsele";"07JN";"00";"Julianabasisschool";"4413AH";"KRABBENDIJKE";"Zeeland";"Bo";"Reformatorisch";"29823";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"40";"Onbekend";"07JR";"00";"Basissch De Welle";"4416AT";"KRUININGEN";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4332";"Middelburg";"07JR";"00";"Basissch De Welle";"4416AT";"KRUININGEN";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4413";"Reimerswaal";"07JR";"00";"Basissch De Welle";"4416AT";"KRUININGEN";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4414";"Reimerswaal";"07JR";"00";"Basissch De Welle";"4416AT";"KRUININGEN";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4416";"Reimerswaal";"07JR";"00";"Basissch De Welle";"4416AT";"KRUININGEN";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"31";"11";"14";"10";"19";"18";"13";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4417";"Reimerswaal";"07JR";"00";"Basissch De Welle";"4416AT";"KRUININGEN";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4481";"Goes";"07JR";"00";"Basissch De Welle";"4416AT";"KRUININGEN";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4411";"Reimerswaal";"08JP";"00";"De Zevensprong";"4413ET";"KRABBENDIJKE";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0703";"Reimerswaal";"4413";"Reimerswaal";"08JP";"00";"De Zevensprong";"4413ET";"KRABBENDIJKE";"Zeeland";"Bo";"Protestants-Christelijk";"41582";"0";"17";"20";"18";"19";"27";"21";"19";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
