"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1667";"Reusel-De Mierden";"5094";"Reusel-De Mierden";"03EV";"00";"OBS De Klimop";"5541GH";"REUSEL";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1667";"Reusel-De Mierden";"5095";"Reusel-De Mierden";"03EV";"00";"OBS De Klimop";"5541GH";"REUSEL";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1667";"Reusel-De Mierden";"5096";"Reusel-De Mierden";"03EV";"00";"OBS De Klimop";"5541GH";"REUSEL";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1667";"Reusel-De Mierden";"5521";"Eersel";"03EV";"00";"OBS De Klimop";"5541GH";"REUSEL";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1667";"Reusel-De Mierden";"5531";"Bladel";"03EV";"00";"OBS De Klimop";"5541GH";"REUSEL";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1667";"Reusel-De Mierden";"5541";"Reusel-De Mierden";"03EV";"00";"OBS De Klimop";"5541GH";"REUSEL";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"33";"37";"27";"30";"28";"28";"25";"29";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1667";"Reusel-De Mierden";"40";"Onbekend";"03WM";"00";"RK Basissch D Akkerwinde";"5095AS";"HOOGE MIERDE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"44201";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1667";"Reusel-De Mierden";"5094";"Reusel-De Mierden";"03WM";"00";"RK Basissch D Akkerwinde";"5095AS";"HOOGE MIERDE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"44201";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1667";"Reusel-De Mierden";"5095";"Reusel-De Mierden";"03WM";"00";"RK Basissch D Akkerwinde";"5095AS";"HOOGE MIERDE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"44201";"0";"19";"24";"25";"14";"21";"24";"25";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1667";"Reusel-De Mierden";"5096";"Reusel-De Mierden";"03WM";"00";"RK Basissch D Akkerwinde";"5095AS";"HOOGE MIERDE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"44201";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
