"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0275";"Rheden";"6824";"Arnhem";"04SL";"00";"Chr Basissch D Holtbanck";"6991DP";"RHEDEN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6991";"Rheden";"04SL";"00";"Chr Basissch D Holtbanck";"6991DP";"RHEDEN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"18";"18";"27";"28";"26";"16";"22";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6922";"Duiven";"05IW";"00";"Basissch St Mauritius";"6991BS";"RHEDEN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6971";"Brummen";"05IW";"00";"Basissch St Mauritius";"6991BS";"RHEDEN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6982";"Doesburg";"05IW";"00";"Basissch St Mauritius";"6991BS";"RHEDEN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6991";"Rheden";"05IW";"00";"Basissch St Mauritius";"6991BS";"RHEDEN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"11";"13";"19";"14";"8";"18";"9";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6665";"Overbetuwe";"05IX";"00";"Basisschool De Vlinder";"6952GA";"DIEREN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6951";"Rheden";"05IX";"00";"Basisschool De Vlinder";"6952GA";"DIEREN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"8";"10";"6";"10";"8";"7";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6952";"Rheden";"05IX";"00";"Basisschool De Vlinder";"6952GA";"DIEREN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"10";"11";"7";"9";"5";"6";"17";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6953";"Rheden";"05IX";"00";"Basisschool De Vlinder";"6952GA";"DIEREN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6956";"Rheden";"05IX";"00";"Basisschool De Vlinder";"6952GA";"DIEREN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6957";"Rheden";"05IX";"00";"Basisschool De Vlinder";"6952GA";"DIEREN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6961";"Brummen";"05IX";"00";"Basisschool De Vlinder";"6952GA";"DIEREN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6974";"Brummen";"05IX";"00";"Basisschool De Vlinder";"6952GA";"DIEREN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"7225";"Bronckhorst";"05IX";"00";"Basisschool De Vlinder";"6952GA";"DIEREN";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"3134";"Vlaardingen";"10QP";"00";"De Akker";"6952GA";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"40";"Onbekend";"10QP";"00";"De Akker";"6952GA";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6951";"Rheden";"10QP";"00";"De Akker";"6952GA";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"<5";"8";"<5";"7";"9";"10";"5";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6952";"Rheden";"10QP";"00";"De Akker";"6952GA";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"11";"9";"9";"10";"10";"9";"8";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6953";"Rheden";"10QP";"00";"De Akker";"6952GA";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6955";"Rheden";"10QP";"00";"De Akker";"6952GA";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6956";"Rheden";"10QP";"00";"De Akker";"6952GA";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6957";"Rheden";"10QP";"00";"De Akker";"6952GA";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6991";"Rheden";"10QP";"00";"De Akker";"6952GA";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6951";"Rheden";"11FC";"00";"PC Basissch de Boomgaard";"6951NS";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"17";"13";"11";"12";"11";"15";"8";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0275";"Rheden";"6952";"Rheden";"11FC";"00";"PC Basissch de Boomgaard";"6951NS";"DIEREN";"Gelderland";"Bo";"Protestants-Christelijk";"40843";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
