"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0340";"Rhenen";"3904";"Veenendaal";"05NU";"00";"School Met De Bijbel";"3921EK";"ELST UT";"Utrecht";"Bo";"Protestants-Christelijk";"41621";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0340";"Rhenen";"3911";"Rhenen";"05NU";"00";"School Met De Bijbel";"3921EK";"ELST UT";"Utrecht";"Bo";"Protestants-Christelijk";"41621";"0";"<5";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0340";"Rhenen";"3921";"Rhenen";"05NU";"00";"School Met De Bijbel";"3921EK";"ELST UT";"Utrecht";"Bo";"Protestants-Christelijk";"41621";"0";"25";"29";"20";"23";"22";"25";"14";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0340";"Rhenen";"3958";"Utrechtse Heuvelrug";"05NU";"00";"School Met De Bijbel";"3921EK";"ELST UT";"Utrecht";"Bo";"Protestants-Christelijk";"41621";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0340";"Rhenen";"3901";"Veenendaal";"06FI";"00";"Eben Haezerschool";"3912AA";"RHENEN";"Utrecht";"Bo";"Reformatorisch";"26626";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0340";"Rhenen";"3911";"Rhenen";"06FI";"00";"Eben Haezerschool";"3912AA";"RHENEN";"Utrecht";"Bo";"Reformatorisch";"26626";"0";"22";"21";"20";"23";"18";"19";"14";"18";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0340";"Rhenen";"3912";"Rhenen";"06FI";"00";"Eben Haezerschool";"3912AA";"RHENEN";"Utrecht";"Bo";"Reformatorisch";"26626";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0340";"Rhenen";"3921";"Rhenen";"06FI";"00";"Eben Haezerschool";"3912AA";"RHENEN";"Utrecht";"Bo";"Reformatorisch";"26626";"0";"<5";"5";"5";"10";"7";"9";"7";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0340";"Rhenen";"3922";"Rhenen";"06FI";"00";"Eben Haezerschool";"3912AA";"RHENEN";"Utrecht";"Bo";"Reformatorisch";"26626";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0340";"Rhenen";"3958";"Utrechtse Heuvelrug";"06FI";"00";"Eben Haezerschool";"3912AA";"RHENEN";"Utrecht";"Bo";"Reformatorisch";"26626";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
