"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1742";"Rijssen-Holten";"40";"Onbekend";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7442";"Hellendoorn";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7443";"Hellendoorn";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7451";"Rijssen-Holten";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7461";"Rijssen-Holten";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"<5";"<5";"0";"<5";"5";"5";"7";"<5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7462";"Rijssen-Holten";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"5";"<5";"5";"<5";"8";"9";"10";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7463";"Rijssen-Holten";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"0";"<5";"<5";"5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7468";"Wierden";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7471";"Hof van Twente";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7491";"Hof van Twente";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7601";"Almelo";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7622";"Borne";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7641";"Wierden";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7642";"Wierden";"00ZS";"00";"SSBO Elim";"7462TK";"RIJSSEN";"Overijssel";"Sbo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7413";"Deventer";"03LS";"00";"Klim Op School";"7461EJ";"RIJSSEN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7461";"Rijssen-Holten";"03LS";"00";"Klim Op School";"7461EJ";"RIJSSEN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"16";"21";"17";"17";"18";"27";"19";"24";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7462";"Rijssen-Holten";"03LS";"00";"Klim Op School";"7461EJ";"RIJSSEN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"6";"9";"12";"8";"10";"13";"11";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7463";"Rijssen-Holten";"03LS";"00";"Klim Op School";"7461EJ";"RIJSSEN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7468";"Wierden";"03LS";"00";"Klim Op School";"7461EJ";"RIJSSEN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7475";"Hof van Twente";"03LS";"00";"Klim Op School";"7461EJ";"RIJSSEN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7623";"Borne";"03LS";"00";"Klim Op School";"7461EJ";"RIJSSEN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7642";"Wierden";"03LS";"00";"Klim Op School";"7461EJ";"RIJSSEN";"Overijssel";"Bo";"Rooms-Katholiek";"68836";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7434";"Deventer";"10DG";"00";"Dijkerhoek";"7451LV";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7435";"Deventer";"10DG";"00";"Dijkerhoek";"7451LV";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7437";"Deventer";"10DG";"00";"Dijkerhoek";"7451LV";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7451";"Rijssen-Holten";"10DG";"00";"Dijkerhoek";"7451LV";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"<5";"8";"7";"5";"9";"7";"11";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"8111";"Raalte";"10DG";"00";"Dijkerhoek";"7451LV";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"8112";"Raalte";"10DG";"00";"Dijkerhoek";"7451LV";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7451";"Rijssen-Holten";"10KQ";"00";"PC Bs De Regenboog";"7451EV";"HOLTEN";"Overijssel";"Bo";"Protestants-Christelijk";"83696";"0";"25";"22";"21";"34";"28";"34";"40";"43";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7462";"Rijssen-Holten";"10KQ";"00";"PC Bs De Regenboog";"7451EV";"HOLTEN";"Overijssel";"Bo";"Protestants-Christelijk";"83696";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7603";"Almelo";"10KQ";"00";"PC Bs De Regenboog";"7451EV";"HOLTEN";"Overijssel";"Bo";"Protestants-Christelijk";"83696";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"3843";"Harderwijk";"11JA";"00";"Odbs de Holterenk";"7451AW";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7216";"Lochem";"11JA";"00";"Odbs de Holterenk";"7451AW";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7451";"Rijssen-Holten";"11JA";"00";"Odbs de Holterenk";"7451AW";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"22";"27";"24";"15";"23";"23";"18";"15";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7462";"Rijssen-Holten";"11JA";"00";"Odbs de Holterenk";"7451AW";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7463";"Rijssen-Holten";"11JA";"00";"Odbs de Holterenk";"7451AW";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7475";"Hof van Twente";"11JA";"00";"Odbs de Holterenk";"7451AW";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7417";"Deventer";"11UO";"00";"Haarschool";"7451DZ";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7451";"Rijssen-Holten";"11UO";"00";"Haarschool";"7451DZ";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"25";"24";"30";"31";"35";"15";"29";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7462";"Rijssen-Holten";"11UO";"00";"Haarschool";"7451DZ";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7532";"Enschede";"11UO";"00";"Haarschool";"7451DZ";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"8111";"Raalte";"11UO";"00";"Haarschool";"7451DZ";"HOLTEN";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7461";"Rijssen-Holten";"13NP";"00";"Beatrixschool";"7461VW";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"35";"23";"35";"30";"25";"47";"30";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7462";"Rijssen-Holten";"13NP";"00";"Beatrixschool";"7461VW";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7463";"Rijssen-Holten";"13NP";"00";"Beatrixschool";"7461VW";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7468";"Wierden";"13NP";"00";"Beatrixschool";"7461VW";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7475";"Hof van Twente";"13NP";"00";"Beatrixschool";"7461VW";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7274";"Berkelland";"13RZ";"00";"Basisschool Juliana";"7462XC";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7451";"Rijssen-Holten";"13RZ";"00";"Basisschool Juliana";"7462XC";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7461";"Rijssen-Holten";"13RZ";"00";"Basisschool Juliana";"7462XC";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"<5";"0";"<5";"<5";"5";"0";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7462";"Rijssen-Holten";"13RZ";"00";"Basisschool Juliana";"7462XC";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"17";"17";"13";"12";"13";"10";"9";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7463";"Rijssen-Holten";"13RZ";"00";"Basisschool Juliana";"7462XC";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"39";"37";"39";"42";"38";"52";"53";"41";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7466";"Wierden";"13RZ";"00";"Basisschool Juliana";"7462XC";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7468";"Wierden";"13RZ";"00";"Basisschool Juliana";"7462XC";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7645";"Wierden";"13RZ";"00";"Basisschool Juliana";"7462XC";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"40";"Onbekend";"13VR";"00";"Basisschool Wilhelmina";"7462AA";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7441";"Hellendoorn";"13VR";"00";"Basisschool Wilhelmina";"7462AA";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7461";"Rijssen-Holten";"13VR";"00";"Basisschool Wilhelmina";"7462AA";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"16";"11";"15";"15";"12";"14";"13";"15";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1742";"Rijssen-Holten";"7462";"Rijssen-Holten";"13VR";"00";"Basisschool Wilhelmina";"7462AA";"RIJSSEN";"Overijssel";"Bo";"Protestants-Christelijk";"77196";"0";"10";"8";"13";"13";"8";"13";"13";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
