"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1669";"Roerdalen";"20";"Duitsland";"03HF";"00";"Bs De Draaiende Wieken";"6061EL";"POSTERHOLT";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"40";"Onbekend";"03HF";"00";"Bs De Draaiende Wieken";"6061EL";"POSTERHOLT";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"6043";"Roermond";"03HF";"00";"Bs De Draaiende Wieken";"6061EL";"POSTERHOLT";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"6045";"Roermond";"03HF";"00";"Bs De Draaiende Wieken";"6061EL";"POSTERHOLT";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"6061";"Roerdalen";"03HF";"00";"Bs De Draaiende Wieken";"6061EL";"POSTERHOLT";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"20";"20";"36";"24";"30";"34";"24";"26";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"6063";"Roerdalen";"03HF";"00";"Bs De Draaiende Wieken";"6061EL";"POSTERHOLT";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"6074";"Roerdalen";"03HF";"00";"Bs De Draaiende Wieken";"6061EL";"POSTERHOLT";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"6075";"Roerdalen";"03HF";"00";"Bs De Draaiende Wieken";"6061EL";"POSTERHOLT";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"6077";"Roerdalen";"03HF";"00";"Bs De Draaiende Wieken";"6061EL";"POSTERHOLT";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"20";"Duitsland";"03OM";"00";"RK Bs De Berensprong";"6075CW";"HERKENBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41692";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"3052";"Rotterdam";"03OM";"00";"RK Bs De Berensprong";"6075CW";"HERKENBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41692";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"40";"Onbekend";"03OM";"00";"RK Bs De Berensprong";"6075CW";"HERKENBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41692";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"6041";"Roermond";"03OM";"00";"RK Bs De Berensprong";"6075CW";"HERKENBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41692";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1669";"Roerdalen";"6042";"Roermond";"03OM";"00";"RK Bs De Berensprong";"6075CW";"HERKENBOSCH";"Limburg";"Bo";"Rooms-Katholiek";"41692";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
