"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0957";"Roermond";"5768";"Peel en Maas";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"Vso";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0957";"Roermond";"5865";"Horst aan de Maas";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"So";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0957";"Roermond";"5913";"Venlo";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"Vso";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0957";"Roermond";"5922";"Venlo";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"Vso";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0957";"Roermond";"5953";"Beesel";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"So";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0957";"Roermond";"5953";"Beesel";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"Vso";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0957";"Roermond";"5954";"Beesel";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"Vso";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0957";"Roermond";"5971";"Horst aan de Maas";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"Vso";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0957";"Roermond";"5981";"Peel en Maas";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"Vso";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0957";"Roermond";"5984";"Peel en Maas";"00KX";"00";"Herman Broerenschool";"6045GL";"ROERMOND";"Limburg";"Vso";"Rooms-Katholiek";"26132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
