"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1674";"Roosendaal";"4635";"Woensdrecht";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1674";"Roosendaal";"4675";"Tholen";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1674";"Roosendaal";"4701";"Roosendaal";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1674";"Roosendaal";"4702";"Roosendaal";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1674";"Roosendaal";"4703";"Roosendaal";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1674";"Roosendaal";"4706";"Roosendaal";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"<5";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1674";"Roosendaal";"4707";"Roosendaal";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"6";"5";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1674";"Roosendaal";"4708";"Roosendaal";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1674";"Roosendaal";"4711";"Rucphen";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1674";"Roosendaal";"4715";"Rucphen";"00CU";"00";"Basisschool Zilverlinde";"4707EW";"ROOSENDAAL";"Noord-Brabant";"Bo";"Antroposofisch";"41246";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
