"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0599";"Rotterdam";"2263";"Leidschendam-Voorburg";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0599";"Rotterdam";"2512";"'s-Gravenhage";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0599";"Rotterdam";"2625";"Delft";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0599";"Rotterdam";"2651";"Lansingerland";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0599";"Rotterdam";"2661";"Lansingerland";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0599";"Rotterdam";"2665";"Lansingerland";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0599";"Rotterdam";"2671";"Westland";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0599";"Rotterdam";"2712";"Zoetermeer";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0599";"Rotterdam";"2717";"Zoetermeer";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0599";"Rotterdam";"2719";"Zoetermeer";"00AW";"00";"Bergse Veld School";"3055KM";"ROTTERDAM";"Zuid-Holland";"So";"Protestants-Christelijk";"62077";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
