"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0277";"Rozendaal";"6822";"Arnhem";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6823";"Arnhem";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6824";"Arnhem";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6825";"Arnhem";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6826";"Arnhem";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6828";"Arnhem";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6881";"Rheden";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"12";"7";"12";"10";"13";"10";"6";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6882";"Rheden";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6883";"Rheden";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6891";"Rozendaal";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"12";"12";"21";"11";"15";"13";"9";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6902";"Zevenaar";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0277";"Rozendaal";"6991";"Rheden";"04HX";"00";"Dorpsschool Rozendaal";"6891AL";"ROZENDAAL";"Gelderland";"Bo";"Openbaar";"41617";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
