"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0441";"Schagen";"1705";"Dijk en Waard";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0441";"Schagen";"1731";"Hollands Kroon";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0441";"Schagen";"1738";"Schagen";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0441";"Schagen";"1741";"Schagen";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0441";"Schagen";"1742";"Schagen";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0441";"Schagen";"1744";"Schagen";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0441";"Schagen";"1746";"Schagen";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0441";"Schagen";"1747";"Schagen";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0441";"Schagen";"1751";"Schagen";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0441";"Schagen";"1753";"Schagen";"00RL";"11";"Antoniusschool Schagen";"1742AB";"SCHAGEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
