"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0279";"Scherpenzeel";"3772";"Barneveld";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0279";"Scherpenzeel";"3831";"Leusden";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0279";"Scherpenzeel";"3925";"Scherpenzeel";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"38";"44";"38";"35";"48";"28";"38";"30";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0279";"Scherpenzeel";"3927";"Renswoude";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"15";"8";"12";"6";"6";"9";"<5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0279";"Scherpenzeel";"3931";"Woudenberg";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"<5";"5";"<5";"<5";"<5";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0279";"Scherpenzeel";"3945";"Wijk bij Duurstede";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0279";"Scherpenzeel";"3953";"Utrechtse Heuvelrug";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0279";"Scherpenzeel";"3956";"Utrechtse Heuvelrug";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0279";"Scherpenzeel";"3958";"Utrechtse Heuvelrug";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0279";"Scherpenzeel";"3959";"Utrechtse Heuvelrug";"03LN";"00";"Basisschool de Wittenberg";"3925BW";"SCHERPENZEEL GLD";"Gelderland";"Bo";"Reformatorisch";"31189";"0";"6";"<5";"5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
