"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0965";"Simpelveld";"6286";"Gulpen-Wittem";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6291";"Vaals";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6351";"Simpelveld";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"27";"34";"39";"41";"35";"35";"38";"24";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6353";"Simpelveld";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6369";"Simpelveld";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6412";"Heerlen";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6415";"Heerlen";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6417";"Heerlen";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6418";"Heerlen";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6461";"Kerkrade";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6462";"Kerkrade";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6464";"Kerkrade";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6466";"Kerkrade";"03PF";"00";"Basisschool Bocholtz";"6351HJ";"BOCHOLTZ";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0965";"Simpelveld";"6286";"Gulpen-Wittem";"09BA";"00";"Basisschool de Meridiaan";"6369VZ";"SIMPELVELD";"Limburg";"Bo";"Rooms-Katholiek";"41516";"0";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
