"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0845";"Sint-Michielsgestel";"5216";"'s-Hertogenbosch";"03PM";"00";"De Wegwijzer";"5271XR";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0845";"Sint-Michielsgestel";"5231";"'s-Hertogenbosch";"03PM";"00";"De Wegwijzer";"5271XR";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0845";"Sint-Michielsgestel";"5258";"Sint-Michielsgestel";"03PM";"00";"De Wegwijzer";"5271XR";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0845";"Sint-Michielsgestel";"5271";"Sint-Michielsgestel";"03PM";"00";"De Wegwijzer";"5271XR";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"21";"10";"13";"16";"15";"12";"11";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0845";"Sint-Michielsgestel";"5275";"Sint-Michielsgestel";"03PM";"00";"De Wegwijzer";"5271XR";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"14";"10";"21";"17";"14";"20";"18";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0845";"Sint-Michielsgestel";"5482";"Meierijstad";"03PM";"00";"De Wegwijzer";"5271XR";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0845";"Sint-Michielsgestel";"40";"Onbekend";"04TH";"00";"Basisschool Roald Dahl";"5271RA";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0845";"Sint-Michielsgestel";"5262";"Vught";"04TH";"00";"Basisschool Roald Dahl";"5271RA";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0845";"Sint-Michielsgestel";"5271";"Sint-Michielsgestel";"04TH";"00";"Basisschool Roald Dahl";"5271RA";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"23";"24";"18";"22";"25";"23";"23";"21";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0845";"Sint-Michielsgestel";"5272";"Sint-Michielsgestel";"04TH";"00";"Basisschool Roald Dahl";"5271RA";"SINT-MICHIELSGESTEL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
