"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0610";"Sliedrecht";"3313";"Dordrecht";"04VD";"00";"Prins Willem Alexander";"3362SP";"SLIEDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0610";"Sliedrecht";"3314";"Dordrecht";"04VD";"00";"Prins Willem Alexander";"3362SP";"SLIEDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0610";"Sliedrecht";"3361";"Sliedrecht";"04VD";"00";"Prins Willem Alexander";"3362SP";"SLIEDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"8";"13";"15";"6";"13";"12";"11";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0610";"Sliedrecht";"3362";"Sliedrecht";"04VD";"00";"Prins Willem Alexander";"3362SP";"SLIEDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"42";"53";"57";"48";"34";"44";"57";"49";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0610";"Sliedrecht";"3363";"Sliedrecht";"04VD";"00";"Prins Willem Alexander";"3362SP";"SLIEDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0610";"Sliedrecht";"3364";"Sliedrecht";"04VD";"00";"Prins Willem Alexander";"3362SP";"SLIEDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0610";"Sliedrecht";"3366";"Molenlanden";"04VD";"00";"Prins Willem Alexander";"3362SP";"SLIEDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0610";"Sliedrecht";"3371";"Hardinxveld-Giessendam";"04VD";"00";"Prins Willem Alexander";"3362SP";"SLIEDRECHT";"Zuid-Holland";"Bo";"Protestants-Christelijk";"43928";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0610";"Sliedrecht";"2974";"Molenlanden";"05TG";"00";"Johannes Calvijnschool";"3363CK";"SLIEDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"91118";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0610";"Sliedrecht";"3351";"Papendrecht";"05TG";"00";"Johannes Calvijnschool";"3363CK";"SLIEDRECHT";"Zuid-Holland";"Bo";"Reformatorisch";"91118";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
