"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1714";"Sluis";"4507";"Sluis";"03MT";"00";"Basissch Molenbolwerk";"4515AT";"IJZENDIJKE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1714";"Sluis";"4508";"Sluis";"03MT";"00";"Basissch Molenbolwerk";"4515AT";"IJZENDIJKE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1714";"Sluis";"4513";"Sluis";"03MT";"00";"Basissch Molenbolwerk";"4515AT";"IJZENDIJKE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1714";"Sluis";"4515";"Sluis";"03MT";"00";"Basissch Molenbolwerk";"4515AT";"IJZENDIJKE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"10";"7";"<5";"14";"18";"18";"11";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1714";"Sluis";"4521";"Terneuzen";"03MT";"00";"Basissch Molenbolwerk";"4515AT";"IJZENDIJKE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1714";"Sluis";"4522";"Sluis";"03MT";"00";"Basissch Molenbolwerk";"4515AT";"IJZENDIJKE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1714";"Sluis";"10";"Belgie";"03NH";"00";"RK Basissch St Jozef";"4529GE";"EEDE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1714";"Sluis";"4524";"Sluis";"03NH";"00";"RK Basissch St Jozef";"4529GE";"EEDE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1714";"Sluis";"4527";"Sluis";"03NH";"00";"RK Basissch St Jozef";"4529GE";"EEDE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"<5";"<5";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1714";"Sluis";"4529";"Sluis";"03NH";"00";"RK Basissch St Jozef";"4529GE";"EEDE";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"<5";"<5";"6";"0";"0";"<5";"<5";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
