"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0090";"Smallingerland";"1102";"Amsterdam";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0090";"Smallingerland";"5014";"Tilburg";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0090";"Smallingerland";"7031";"Doetinchem";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0090";"Smallingerland";"8401";"Opsterland";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0090";"Smallingerland";"8407";"Opsterland";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0090";"Smallingerland";"8409";"Opsterland";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0090";"Smallingerland";"8411";"Heerenveen";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0090";"Smallingerland";"8431";"Ooststellingwerf";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0090";"Smallingerland";"8433";"Ooststellingwerf";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0090";"Smallingerland";"8446";"Heerenveen";"00MU";"00";"De Saffier";"9201JE";"DRACHTEN";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
