"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0342";"Soest";"1813";"Alkmaar";"06UZ";"00";"Basisschool De Postiljon";"3769EC";"SOESTERBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3708";"Zeist";"06UZ";"00";"Basisschool De Postiljon";"3769EC";"SOESTERBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3712";"Zeist";"06UZ";"00";"Basisschool De Postiljon";"3769EC";"SOESTERBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"6";"7";"6";"10";"7";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3721";"De Bilt";"06UZ";"00";"Basisschool De Postiljon";"3769EC";"SOESTERBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3769";"Soest";"06UZ";"00";"Basisschool De Postiljon";"3769EC";"SOESTERBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"31";"23";"24";"17";"24";"16";"12";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3831";"Leusden";"06UZ";"00";"Basisschool De Postiljon";"3769EC";"SOESTERBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41242";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3741";"Baarn";"08CN";"00";"1e Van der Huchtschool";"3761AT";"SOEST";"Utrecht";"Bo";"Algemeen bijzonder";"97358";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3742";"Baarn";"08CN";"00";"1e Van der Huchtschool";"3761AT";"SOEST";"Utrecht";"Bo";"Algemeen bijzonder";"97358";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3761";"Soest";"08CN";"00";"1e Van der Huchtschool";"3761AT";"SOEST";"Utrecht";"Bo";"Algemeen bijzonder";"97358";"0";"<5";"13";"13";"9";"10";"15";"6";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3762";"Soest";"08CN";"00";"1e Van der Huchtschool";"3761AT";"SOEST";"Utrecht";"Bo";"Algemeen bijzonder";"97358";"0";"10";"<5";"8";"10";"10";"5";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3764";"Soest";"08CN";"00";"1e Van der Huchtschool";"3761AT";"SOEST";"Utrecht";"Bo";"Algemeen bijzonder";"97358";"0";"12";"8";"7";"7";"8";"8";"7";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3765";"Soest";"08CN";"00";"1e Van der Huchtschool";"3761AT";"SOEST";"Utrecht";"Bo";"Algemeen bijzonder";"97358";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3766";"Soest";"08CN";"00";"1e Van der Huchtschool";"3761AT";"SOEST";"Utrecht";"Bo";"Algemeen bijzonder";"97358";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3768";"Soest";"08CN";"00";"1e Van der Huchtschool";"3761AT";"SOEST";"Utrecht";"Bo";"Algemeen bijzonder";"97358";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0342";"Soest";"3769";"Soest";"08CN";"00";"1e Van der Huchtschool";"3761AT";"SOEST";"Utrecht";"Bo";"Algemeen bijzonder";"97358";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
