"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0847";"Someren";"40";"Onbekend";"05DJ";"00";"RK Basisschool St Jozef";"5712ET";"SOMEREN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5422";"Gemert-Bakel";"05DJ";"00";"RK Basisschool St Jozef";"5712ET";"SOMEREN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5708";"Helmond";"05DJ";"00";"RK Basisschool St Jozef";"5712ET";"SOMEREN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5712";"Someren";"05DJ";"00";"RK Basisschool St Jozef";"5712ET";"SOMEREN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"15";"15";"13";"20";"11";"16";"13";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5721";"Asten";"05DJ";"00";"RK Basisschool St Jozef";"5712ET";"SOMEREN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41223";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5701";"Helmond";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5704";"Helmond";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5711";"Someren";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5712";"Someren";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5715";"Someren";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5721";"Asten";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5724";"Asten";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5725";"Asten";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5751";"Deurne";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"<5";"<5";"<5";"<5";"<5";"7";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5752";"Deurne";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0847";"Someren";"5753";"Deurne";"06IC";"00";"SBO De Brigantijn";"5711EJ";"SOMEREN";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"41223";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
