"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0848";"Son en Breugel";"5243";"'s-Hertogenbosch";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5271";"Sint-Michielsgestel";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5282";"Boxtel";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5283";"Boxtel";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5298";"Boxtel";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5346";"Oss";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5351";"Oss";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5388";"Bernheze";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5397";"Oss";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5397";"Oss";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5402";"Maashorst";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5421";"Gemert-Bakel";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5421";"Gemert-Bakel";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5423";"Gemert-Bakel";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5427";"Boekel";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5462";"Meierijstad";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5463";"Meierijstad";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5465";"Meierijstad";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"So";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0848";"Son en Breugel";"5467";"Meierijstad";"01PA";"00";"Emiliusschool";"5691AE";"SON EN BREUGEL";"Noord-Brabant";"Vso";"Algemeen bijzonder";"82253";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
