"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0037";"Stadskanaal";"7844";"Emmen";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"7876";"Borger-Odoorn";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9461";"Aa en Hunze";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9462";"Aa en Hunze";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9463";"Aa en Hunze";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9501";"Stadskanaal";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"<5";"<5";"<5";"<5";"<5";"8";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9502";"Stadskanaal";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9503";"Stadskanaal";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9511";"Aa en Hunze";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9512";"Aa en Hunze";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9514";"Aa en Hunze";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0037";"Stadskanaal";"9521";"Borger-Odoorn";"01KY";"00";"SBO De Baldakijn";"9501TJ";"STADSKANAAL";"Groningen";"Sbo";"Algemeen bijzonder";"41358";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
