"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0851";"Steenbergen";"4651";"Steenbergen";"03XP";"00";"RK BS Merijntje";"4681AT";"NIEUW-VOSSEMEER";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0851";"Steenbergen";"4655";"Steenbergen";"03XP";"00";"RK BS Merijntje";"4681AT";"NIEUW-VOSSEMEER";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0851";"Steenbergen";"4671";"Steenbergen";"03XP";"00";"RK BS Merijntje";"4681AT";"NIEUW-VOSSEMEER";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0851";"Steenbergen";"4681";"Steenbergen";"03XP";"00";"RK BS Merijntje";"4681AT";"NIEUW-VOSSEMEER";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"13";"18";"13";"24";"17";"21";"14";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0851";"Steenbergen";"4694";"Tholen";"03XP";"00";"RK BS Merijntje";"4681AT";"NIEUW-VOSSEMEER";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0851";"Steenbergen";"4651";"Steenbergen";"04RM";"00";"RK Basissch De Zonneberg";"4756BP";"KRUISLAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"39534";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0851";"Steenbergen";"4652";"Steenbergen";"04RM";"00";"RK Basissch De Zonneberg";"4756BP";"KRUISLAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"39534";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0851";"Steenbergen";"4661";"Bergen op Zoom";"04RM";"00";"RK Basissch De Zonneberg";"4756BP";"KRUISLAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"39534";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0851";"Steenbergen";"4703";"Roosendaal";"04RM";"00";"RK Basissch De Zonneberg";"4756BP";"KRUISLAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"39534";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0851";"Steenbergen";"4731";"Halderberge";"04RM";"00";"RK Basissch De Zonneberg";"4756BP";"KRUISLAND";"Noord-Brabant";"Bo";"Rooms-Katholiek";"39534";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
