"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1708";"Steenwijkerland";"7975";"Westerveld";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8281";"Zwartewaterland";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8331";"Steenwijkerland";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8332";"Steenwijkerland";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"<5";"5";"5";"<5";"6";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8333";"Steenwijkerland";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8334";"Steenwijkerland";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8343";"Steenwijkerland";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8344";"Steenwijkerland";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8355";"Steenwijkerland";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8363";"Steenwijkerland";"03CO";"00";"GBS De Wegwijzer";"8331MZ";"STEENWIJK";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"5126";"Gilze en Rijen";"04LJ";"00";"KC De Lisdodde";"7946AD";"WANNEPERVEEN";"Overijssel";"Bo";"Protestants-Christelijk";"42788";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"7946";"Steenwijkerland";"04LJ";"00";"KC De Lisdodde";"7946AD";"WANNEPERVEEN";"Overijssel";"Bo";"Protestants-Christelijk";"42788";"0";"8";"10";"11";"15";"11";"18";"15";"11";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8315";"Noordoostpolder";"04QU";"00";"Chr. KC De Schutsluis";"8356ER";"BLOKZIJL";"Overijssel";"Bo";"Protestants-Christelijk";"41270";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8316";"Noordoostpolder";"04QU";"00";"Chr. KC De Schutsluis";"8356ER";"BLOKZIJL";"Overijssel";"Bo";"Protestants-Christelijk";"41270";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8356";"Steenwijkerland";"04QU";"00";"Chr. KC De Schutsluis";"8356ER";"BLOKZIJL";"Overijssel";"Bo";"Protestants-Christelijk";"41270";"0";"13";"12";"7";"13";"8";"14";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8362";"Steenwijkerland";"04QU";"00";"Chr. KC De Schutsluis";"8356ER";"BLOKZIJL";"Overijssel";"Bo";"Protestants-Christelijk";"41270";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8363";"Steenwijkerland";"04QU";"00";"Chr. KC De Schutsluis";"8356ER";"BLOKZIJL";"Overijssel";"Bo";"Protestants-Christelijk";"41270";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8372";"Steenwijkerland";"04QU";"00";"Chr. KC De Schutsluis";"8356ER";"BLOKZIJL";"Overijssel";"Bo";"Protestants-Christelijk";"41270";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8373";"Steenwijkerland";"04QU";"00";"Chr. KC De Schutsluis";"8356ER";"BLOKZIJL";"Overijssel";"Bo";"Protestants-Christelijk";"41270";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8066";"Steenwijkerland";"04TV";"00";"Chr Basissch Buuzekaemp";"8066PJ";"BELT-SCHUTSLOOT";"Overijssel";"Bo";"Protestants-Christelijk";"41270";"0";"7";"9";"6";"<5";"<5";"<5";"6";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"7944";"Meppel";"05JI";"00";"RK Basissch St Clemens";"8331HP";"STEENWIJK";"Overijssel";"Bo";"Rooms-Katholiek";"40888";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8331";"Steenwijkerland";"05JI";"00";"RK Basissch St Clemens";"8331HP";"STEENWIJK";"Overijssel";"Bo";"Rooms-Katholiek";"40888";"0";"5";"8";"<5";"11";"6";"9";"9";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1708";"Steenwijkerland";"8332";"Steenwijkerland";"05JI";"00";"RK Basissch St Clemens";"8331HP";"STEENWIJK";"Overijssel";"Bo";"Rooms-Katholiek";"40888";"0";"<5";"0";"<5";"<5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
