"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1904";"Stichtse Vecht";"1391";"De Ronde Venen";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"1393";"Stichtse Vecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"1396";"De Ronde Venen";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3451";"Utrecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3452";"Utrecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3481";"Woerden";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3541";"Utrecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3543";"Utrecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3544";"Utrecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3552";"Utrecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3554";"Utrecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3555";"Utrecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3561";"Utrecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3601";"Stichtse Vecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3602";"Stichtse Vecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1904";"Stichtse Vecht";"3604";"Stichtse Vecht";"01JW";"00";"SBO De Kristal";"3607TC";"MAARSSEN";"Utrecht";"Sbo";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
