"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1900";"Súdwest-Fryslân";"8491";"Heerenveen";"02EP";"02";"De Reinbôge";"8608WK";"SNEEK";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8627";"Súdwest-Fryslân";"02EP";"02";"De Reinbôge";"8608WK";"SNEEK";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8701";"Súdwest-Fryslân";"02EP";"02";"De Reinbôge";"8608WK";"SNEEK";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8711";"Súdwest-Fryslân";"02EP";"02";"De Reinbôge";"8608WK";"SNEEK";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8731";"Súdwest-Fryslân";"02EP";"02";"De Reinbôge";"8608WK";"SNEEK";"Friesland";"So";"Algemeen bijzonder";"41414";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8731";"Súdwest-Fryslân";"03GT";"00";"Chr Basissch De Foareker";"8734GL";"EASTEREIN";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8734";"Súdwest-Fryslân";"03GT";"00";"Chr Basissch De Foareker";"8734GL";"EASTEREIN";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"5";"<5";"9";"6";"5";"12";"5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8735";"Súdwest-Fryslân";"03GT";"00";"Chr Basissch De Foareker";"8734GL";"EASTEREIN";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8835";"Leeuwarden";"03GT";"00";"Chr Basissch De Foareker";"8734GL";"EASTEREIN";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8759";"Súdwest-Fryslân";"03IB";"00";"Chr Basisschool De Reinbôge";"8765LM";"TJERKWERD";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8761";"Súdwest-Fryslân";"03IB";"00";"Chr Basisschool De Reinbôge";"8765LM";"TJERKWERD";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8764";"Súdwest-Fryslân";"03IB";"00";"Chr Basisschool De Reinbôge";"8765LM";"TJERKWERD";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8765";"Súdwest-Fryslân";"03IB";"00";"Chr Basisschool De Reinbôge";"8765LM";"TJERKWERD";"Friesland";"Bo";"Protestants-Christelijk";"42545";"0";"<5";"<5";"<5";"<5";"<5";"6";"<5";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8571";"De Fryske Marren";"04AW";"00";"De Barte";"8584VW";"HEMELUM";"Friesland";"Bo";"Algemeen bijzonder";"41385";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8573";"De Fryske Marren";"04AW";"00";"De Barte";"8584VW";"HEMELUM";"Friesland";"Bo";"Algemeen bijzonder";"41385";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8574";"De Fryske Marren";"04AW";"00";"De Barte";"8584VW";"HEMELUM";"Friesland";"Bo";"Algemeen bijzonder";"41385";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1900";"Súdwest-Fryslân";"8584";"Súdwest-Fryslân";"04AW";"00";"De Barte";"8584VW";"HEMELUM";"Friesland";"Bo";"Algemeen bijzonder";"41385";"0";"<5";"<5";"<5";"<5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
