"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0093";"Terschelling";"8881";"Terschelling";"04QN";"00";"Chr Basisschool 'T Jok";"8896KK";"HOORN FR";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8883";"Terschelling";"04QN";"00";"Chr Basisschool 'T Jok";"8896KK";"HOORN FR";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8885";"Terschelling";"04QN";"00";"Chr Basisschool 'T Jok";"8896KK";"HOORN FR";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8891";"Terschelling";"04QN";"00";"Chr Basisschool 'T Jok";"8896KK";"HOORN FR";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8894";"Terschelling";"04QN";"00";"Chr Basisschool 'T Jok";"8896KK";"HOORN FR";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8895";"Terschelling";"04QN";"00";"Chr Basisschool 'T Jok";"8896KK";"HOORN FR";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8896";"Terschelling";"04QN";"00";"Chr Basisschool 'T Jok";"8896KK";"HOORN FR";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"<5";"5";"<5";"<5";"<5";"0";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8897";"Terschelling";"04QN";"00";"Chr Basisschool 'T Jok";"8896KK";"HOORN FR";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8881";"Terschelling";"05UM";"00";"Ds Vossersschool";"8881CJ";"WEST-TERSCHELLING";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"<5";"6";"6";"16";"12";"10";"11";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8882";"Terschelling";"05UM";"00";"Ds Vossersschool";"8881CJ";"WEST-TERSCHELLING";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8884";"Terschelling";"05UM";"00";"Ds Vossersschool";"8881CJ";"WEST-TERSCHELLING";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8891";"Terschelling";"05UM";"00";"Ds Vossersschool";"8881CJ";"WEST-TERSCHELLING";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8894";"Terschelling";"05UM";"00";"Ds Vossersschool";"8881CJ";"WEST-TERSCHELLING";"Friesland";"Bo";"Protestants-Christelijk";"92899";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8881";"Terschelling";"18IU";"00";"'t Hunnighouwersgat";"8891GH";"MIDSLAND";"Friesland";"Bo";"Openbaar";"10867";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8882";"Terschelling";"18IU";"00";"'t Hunnighouwersgat";"8891GH";"MIDSLAND";"Friesland";"Bo";"Openbaar";"10867";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8884";"Terschelling";"18IU";"00";"'t Hunnighouwersgat";"8891GH";"MIDSLAND";"Friesland";"Bo";"Openbaar";"10867";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8885";"Terschelling";"18IU";"00";"'t Hunnighouwersgat";"8891GH";"MIDSLAND";"Friesland";"Bo";"Openbaar";"10867";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8891";"Terschelling";"18IU";"00";"'t Hunnighouwersgat";"8891GH";"MIDSLAND";"Friesland";"Bo";"Openbaar";"10867";"0";"<5";"5";"<5";"5";"9";"5";"17";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8893";"Terschelling";"18IU";"00";"'t Hunnighouwersgat";"8891GH";"MIDSLAND";"Friesland";"Bo";"Openbaar";"10867";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8894";"Terschelling";"18IU";"00";"'t Hunnighouwersgat";"8891GH";"MIDSLAND";"Friesland";"Bo";"Openbaar";"10867";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0093";"Terschelling";"8881";"Terschelling";"18KO";"00";"Pr Margriet-School";"8881CJ";"WEST-TERSCHELLING";"Friesland";"Bo";"Openbaar";"10867";"0";"8";"7";"6";"7";"8";"<5";"6";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
