"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1525";"Teylingen";"2181";"Hillegom";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1525";"Teylingen";"2211";"Noordwijk";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1525";"Teylingen";"2212";"Noordwijk";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1525";"Teylingen";"2221";"Katwijk";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1525";"Teylingen";"2235";"Katwijk";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1525";"Teylingen";"2251";"Voorschoten";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1525";"Teylingen";"2318";"Leiden";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1525";"Teylingen";"2353";"Leiderdorp";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1525";"Teylingen";"2582";"'s-Gravenhage";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1525";"Teylingen";"5233";"'s-Hertogenbosch";"00NT";"10";"LKO-Kleen4Care";"2215TE";"VOORHOUT";"Zuid-Holland";"So";"Algemeen bijzonder";"30968";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
