"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0716";"Tholen";"4567";"Hulst";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4661";"Bergen op Zoom";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4681";"Steenbergen";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4691";"Tholen";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"0";"5";"9";"5";"15";"9";"8";"5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4693";"Tholen";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4694";"Tholen";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4695";"Tholen";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4698";"Tholen";"00FQ";"00";"Montessori BS De Kraal";"4691HT";"THOLEN";"Zeeland";"Bo";"Algemeen bijzonder";"77533";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4651";"Steenbergen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4655";"Steenbergen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4661";"Bergen op Zoom";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4671";"Steenbergen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4675";"Tholen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4681";"Steenbergen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4691";"Tholen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"<5";"<5";"<5";"<5";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4693";"Tholen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4694";"Tholen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4695";"Tholen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4697";"Tholen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4698";"Tholen";"00NY";"00";"De Geluksvogel SBO";"4691JZ";"THOLEN";"Zeeland";"Sbo";"Algemeen bijzonder";"40876";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"3331";"Zwijndrecht";"03IK";"00";"Basisschool Eben Haezer";"4691JZ";"THOLEN";"Zeeland";"Bo";"Reformatorisch";"25833";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4651";"Steenbergen";"03IK";"00";"Basisschool Eben Haezer";"4691JZ";"THOLEN";"Zeeland";"Bo";"Reformatorisch";"25833";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4671";"Steenbergen";"03IK";"00";"Basisschool Eben Haezer";"4691JZ";"THOLEN";"Zeeland";"Bo";"Reformatorisch";"25833";"0";"<5";"<5";"<5";"5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4691";"Tholen";"03IK";"00";"Basisschool Eben Haezer";"4691JZ";"THOLEN";"Zeeland";"Bo";"Reformatorisch";"25833";"0";"42";"35";"43";"37";"47";"36";"42";"24";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4693";"Tholen";"03IK";"00";"Basisschool Eben Haezer";"4691JZ";"THOLEN";"Zeeland";"Bo";"Reformatorisch";"25833";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4695";"Tholen";"03IK";"00";"Basisschool Eben Haezer";"4691JZ";"THOLEN";"Zeeland";"Bo";"Reformatorisch";"25833";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4698";"Tholen";"03IK";"00";"Basisschool Eben Haezer";"4691JZ";"THOLEN";"Zeeland";"Bo";"Reformatorisch";"25833";"0";"5";"7";"<5";"5";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4691";"Tholen";"03QC";"00";"RK BS St Anthonius";"4698AS";"OUD-VOSSEMEER";"Zeeland";"Bo";"Rooms-Katholiek";"40517";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4698";"Tholen";"03QC";"00";"RK BS St Anthonius";"4698AS";"OUD-VOSSEMEER";"Zeeland";"Bo";"Rooms-Katholiek";"40517";"0";"9";"9";"8";"7";"8";"14";"13";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4661";"Bergen op Zoom";"04EY";"13";"De Geluksvogel SO";"4691JZ";"THOLEN";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4675";"Tholen";"04EY";"13";"De Geluksvogel SO";"4691JZ";"THOLEN";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4691";"Tholen";"04EY";"13";"De Geluksvogel SO";"4691JZ";"THOLEN";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4693";"Tholen";"04EY";"13";"De Geluksvogel SO";"4691JZ";"THOLEN";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4695";"Tholen";"04EY";"13";"De Geluksvogel SO";"4691JZ";"THOLEN";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4697";"Tholen";"04EY";"13";"De Geluksvogel SO";"4691JZ";"THOLEN";"Zeeland";"So";"Algemeen bijzonder";"40876";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4675";"Tholen";"04HB";"00";"De Luyster";"4675AW";"SINT PHILIPSLAND";"Zeeland";"Bo";"Openbaar";"41842";"0";"13";"13";"19";"8";"9";"6";"11";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4691";"Tholen";"04HB";"00";"De Luyster";"4675AW";"SINT PHILIPSLAND";"Zeeland";"Bo";"Openbaar";"41842";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4697";"Tholen";"04HB";"00";"De Luyster";"4675AW";"SINT PHILIPSLAND";"Zeeland";"Bo";"Openbaar";"41842";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"3244";"Goeree-Overflakkee";"04JJ";"00";"Chr Basissch Het Kompas";"4675RZ";"SINT PHILIPSLAND";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0716";"Tholen";"4614";"Bergen op Zoom";"04JJ";"00";"Chr Basissch Het Kompas";"4675RZ";"SINT PHILIPSLAND";"Zeeland";"Bo";"Protestants-Christelijk";"41583";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
