"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0855";"Tilburg";"4744";"Halderberge";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"So";"Rooms-Katholiek";"73114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0855";"Tilburg";"4861";"Alphen-Chaam";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"Vso";"Rooms-Katholiek";"73114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0855";"Tilburg";"4871";"Etten-Leur";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"So";"Rooms-Katholiek";"73114";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0855";"Tilburg";"4871";"Etten-Leur";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"Vso";"Rooms-Katholiek";"73114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0855";"Tilburg";"4902";"Oosterhout";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"So";"Rooms-Katholiek";"73114";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0855";"Tilburg";"4904";"Oosterhout";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"Vso";"Rooms-Katholiek";"73114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0855";"Tilburg";"4908";"Oosterhout";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"Vso";"Rooms-Katholiek";"73114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0855";"Tilburg";"4927";"Drimmelen";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"Vso";"Rooms-Katholiek";"73114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0855";"Tilburg";"4941";"Geertruidenberg";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"Vso";"Rooms-Katholiek";"73114";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0855";"Tilburg";"5011";"Tilburg";"01FX";"00";"ZML De Bodde";"5044EL";"TILBURG";"Noord-Brabant";"So";"Rooms-Katholiek";"73114";"0";"0";"0";"5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
