"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1700";"Twenterand";"7203";"Zutphen";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7447";"Hellendoorn";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7603";"Almelo";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7642";"Wierden";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7671";"Twenterand";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7672";"Twenterand";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7676";"Twenterand";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7681";"Twenterand";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"<5";"<5";"<5";"<5";"8";"6";"7";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7683";"Twenterand";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7685";"Ommen";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7686";"Twenterand";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7687";"Hellendoorn";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7688";"Hellendoorn";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7692";"Hardenberg";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7693";"Hardenberg";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7771";"Hardenberg";"01KZ";"00";"SBO";"7681ZN";"VROOMSHOOP";"Overijssel";"Sbo";"Protestants-Christelijk";"61751";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7447";"Hellendoorn";"06BY";"00";"Basisschool De Schakel";"7681RG";"VROOMSHOOP";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7681";"Twenterand";"06BY";"00";"Basisschool De Schakel";"7681RG";"VROOMSHOOP";"Overijssel";"Bo";"Openbaar";"23128";"0";"<5";"5";"<5";"9";"6";"10";"11";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7683";"Twenterand";"06BY";"00";"Basisschool De Schakel";"7681RG";"VROOMSHOOP";"Overijssel";"Bo";"Openbaar";"23128";"0";"<5";"0";"5";"<5";"<5";"5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7686";"Twenterand";"06BY";"00";"Basisschool De Schakel";"7681RG";"VROOMSHOOP";"Overijssel";"Bo";"Openbaar";"23128";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7687";"Hellendoorn";"06BY";"00";"Basisschool De Schakel";"7681RG";"VROOMSHOOP";"Overijssel";"Bo";"Openbaar";"23128";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"20";"Duitsland";"06NR";"00";"Johannes Bogermanschool";"7671CA";"VRIEZENVEEN";"Overijssel";"Bo";"Reformatorisch";"50299";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"40";"Onbekend";"06NR";"00";"Johannes Bogermanschool";"7671CA";"VRIEZENVEEN";"Overijssel";"Bo";"Reformatorisch";"50299";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7468";"Wierden";"06NR";"00";"Johannes Bogermanschool";"7671CA";"VRIEZENVEEN";"Overijssel";"Bo";"Reformatorisch";"50299";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7610";"Almelo";"06NR";"00";"Johannes Bogermanschool";"7671CA";"VRIEZENVEEN";"Overijssel";"Bo";"Reformatorisch";"50299";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7611";"Almelo";"06NR";"00";"Johannes Bogermanschool";"7671CA";"VRIEZENVEEN";"Overijssel";"Bo";"Reformatorisch";"50299";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7645";"Wierden";"06NR";"00";"Johannes Bogermanschool";"7671CA";"VRIEZENVEEN";"Overijssel";"Bo";"Reformatorisch";"50299";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7671";"Twenterand";"06NR";"00";"Johannes Bogermanschool";"7671CA";"VRIEZENVEEN";"Overijssel";"Bo";"Reformatorisch";"50299";"0";"12";"16";"15";"19";"14";"19";"13";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7672";"Twenterand";"06NR";"00";"Johannes Bogermanschool";"7671CA";"VRIEZENVEEN";"Overijssel";"Bo";"Reformatorisch";"50299";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1700";"Twenterand";"7676";"Twenterand";"06NR";"00";"Johannes Bogermanschool";"7671CA";"VRIEZENVEEN";"Overijssel";"Bo";"Reformatorisch";"50299";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
