"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1730";"Tynaarlo";"9321";"Noordenveld";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1730";"Tynaarlo";"9351";"Westerkwartier";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1730";"Tynaarlo";"9479";"Groningen";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1730";"Tynaarlo";"9494";"Tynaarlo";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1730";"Tynaarlo";"9495";"Tynaarlo";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1730";"Tynaarlo";"9496";"Tynaarlo";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1730";"Tynaarlo";"9711";"Groningen";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1730";"Tynaarlo";"9718";"Groningen";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1730";"Tynaarlo";"9752";"Groningen";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1730";"Tynaarlo";"9761";"Tynaarlo";"05NQ";"00";"Menso Altingschool";"9765BH";"PATERSWOLDE";"Drenthe";"Bo";"Protestants-Christelijk";"32073";"0";"5";"9";"5";"6";"<5";"12";"8";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
