"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0737";"Tytsjerksteradiel";"9251";"Tytsjerksteradiel";"04SX";"00";"bms De Triangel";"9265LV";"SUWALD";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9255";"Tytsjerksteradiel";"04SX";"00";"bms De Triangel";"9265LV";"SUWALD";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9265";"Tytsjerksteradiel";"04SX";"00";"bms De Triangel";"9265LV";"SUWALD";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"7";"<5";"8";"8";"6";"6";"11";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9051";"Leeuwarden";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9062";"Tytsjerksteradiel";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9104";"Dantumadiel";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9108";"Dantumadiel";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9203";"Smallingerland";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9251";"Tytsjerksteradiel";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9254";"Tytsjerksteradiel";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"38";"29";"31";"25";"35";"37";"31";"22";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9255";"Tytsjerksteradiel";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9257";"Tytsjerksteradiel";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9269";"Dantumadiel";"05OW";"00";"CBS De Winde";"9254CS";"HURDEGARYP";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9219";"Smallingerland";"06PZ";"00";"b.s. de Twirre";"9261ZH";"EASTERMAR";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9231";"Achtkarspelen";"06PZ";"00";"b.s. de Twirre";"9261ZH";"EASTERMAR";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9261";"Tytsjerksteradiel";"06PZ";"00";"b.s. de Twirre";"9261ZH";"EASTERMAR";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"17";"9";"13";"13";"14";"21";"18";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9262";"Tytsjerksteradiel";"06PZ";"00";"b.s. de Twirre";"9261ZH";"EASTERMAR";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9288";"Achtkarspelen";"06PZ";"00";"b.s. de Twirre";"9261ZH";"EASTERMAR";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9289";"Achtkarspelen";"06PZ";"00";"b.s. de Twirre";"9261ZH";"EASTERMAR";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"8926";"Leeuwarden";"06QP";"00";"Bernemienskip de Greide";"9258CM";"JISTRUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9258";"Tytsjerksteradiel";"06QP";"00";"Bernemienskip de Greide";"9258CM";"JISTRUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"16";"11";"15";"12";"8";"8";"7";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9261";"Tytsjerksteradiel";"06QP";"00";"Bernemienskip de Greide";"9258CM";"JISTRUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9288";"Achtkarspelen";"06QP";"00";"Bernemienskip de Greide";"9258CM";"JISTRUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"8926";"Leeuwarden";"08AB";"00";"Basisskoalle De Klimstien";"9257VC";"NOARDBURGUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9251";"Tytsjerksteradiel";"08AB";"00";"Basisskoalle De Klimstien";"9257VC";"NOARDBURGUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9257";"Tytsjerksteradiel";"08AB";"00";"Basisskoalle De Klimstien";"9257VC";"NOARDBURGUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"20";"14";"19";"19";"19";"11";"14";"19";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9219";"Smallingerland";"08AX";"00";"It Bynt";"9262NG";"SUMAR";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9251";"Tytsjerksteradiel";"08AX";"00";"It Bynt";"9262NG";"SUMAR";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9262";"Tytsjerksteradiel";"08AX";"00";"It Bynt";"9262NG";"SUMAR";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"10";"10";"12";"9";"12";"8";"8";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"8921";"Leeuwarden";"08OD";"00";"De Reinbôge";"9251EW";"BURGUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9123";"Noardeast-Fryslân";"08OD";"00";"De Reinbôge";"9251EW";"BURGUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0737";"Tytsjerksteradiel";"9251";"Tytsjerksteradiel";"08OD";"00";"De Reinbôge";"9251EW";"BURGUM";"Friesland";"Bo";"Protestants-Christelijk";"42754";"0";"10";"21";"22";"28";"18";"28";"26";"38";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
