"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0450";"Uitgeest";"1531";"Wormerland";"07VV";"00";"Kindcentrum Cornelis";"1911BS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1825";"Alkmaar";"07VV";"00";"Kindcentrum Cornelis";"1911BS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1901";"Castricum";"07VV";"00";"Kindcentrum Cornelis";"1911BS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1911";"Uitgeest";"07VV";"00";"Kindcentrum Cornelis";"1911BS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"27";"38";"32";"28";"28";"28";"32";"24";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1946";"Beverwijk";"07VV";"00";"Kindcentrum Cornelis";"1911BS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1947";"Beverwijk";"07VV";"00";"Kindcentrum Cornelis";"1911BS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1948";"Beverwijk";"07VV";"00";"Kindcentrum Cornelis";"1911BS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1431";"Aalsmeer";"09XO";"00";"RK Binnenmeerschool";"1911AS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1484";"Alkmaar";"09XO";"00";"RK Binnenmeerschool";"1911AS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1541";"Zaanstad";"09XO";"00";"RK Binnenmeerschool";"1911AS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1562";"Zaanstad";"09XO";"00";"RK Binnenmeerschool";"1911AS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1566";"Zaanstad";"09XO";"00";"RK Binnenmeerschool";"1911AS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1901";"Castricum";"09XO";"00";"RK Binnenmeerschool";"1911AS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1911";"Uitgeest";"09XO";"00";"RK Binnenmeerschool";"1911AS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"36";"30";"42";"26";"28";"43";"32";"24";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1964";"Heemskerk";"09XO";"00";"RK Binnenmeerschool";"1911AS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0450";"Uitgeest";"1969";"Heemskerk";"09XO";"00";"RK Binnenmeerschool";"1911AS";"UITGEEST";"Noord-Holland";"Bo";"Rooms-Katholiek";"40712";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
