"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0184";"Urk";"8309";"Noordoostpolder";"03WY";"00";"Dr Maarten Luther";"8321XP";"URK";"Flevoland";"Bo";"Reformatorisch";"49844";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8311";"Noordoostpolder";"03WY";"00";"Dr Maarten Luther";"8321XP";"URK";"Flevoland";"Bo";"Reformatorisch";"49844";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8321";"Urk";"03WY";"00";"Dr Maarten Luther";"8321XP";"URK";"Flevoland";"Bo";"Reformatorisch";"49844";"0";"17";"23";"22";"18";"24";"17";"21";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8308";"Noordoostpolder";"04XA";"00";"Johannes Calvijnschool";"8321JA";"URK";"Flevoland";"Bo";"Reformatorisch";"48933";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8309";"Noordoostpolder";"04XA";"00";"Johannes Calvijnschool";"8321JA";"URK";"Flevoland";"Bo";"Reformatorisch";"48933";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8321";"Urk";"04XA";"00";"Johannes Calvijnschool";"8321JA";"URK";"Flevoland";"Bo";"Reformatorisch";"48933";"0";"18";"28";"16";"19";"26";"19";"17";"34";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8309";"Noordoostpolder";"06NG";"00";"Du Marchie v Voorthuysen";"8321RJ";"URK";"Flevoland";"Bo";"Reformatorisch";"49844";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8321";"Urk";"06NG";"00";"Du Marchie v Voorthuysen";"8321RJ";"URK";"Flevoland";"Bo";"Reformatorisch";"49844";"0";"19";"28";"14";"21";"26";"20";"26";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8322";"Urk";"06NG";"00";"Du Marchie v Voorthuysen";"8321RJ";"URK";"Flevoland";"Bo";"Reformatorisch";"49844";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8323";"Urk";"06NG";"00";"Du Marchie v Voorthuysen";"8321RJ";"URK";"Flevoland";"Bo";"Reformatorisch";"49844";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8301";"Noordoostpolder";"11DO";"00";"Basisschool Wilhelmina";"8321JB";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8308";"Noordoostpolder";"11DO";"00";"Basisschool Wilhelmina";"8321JB";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8309";"Noordoostpolder";"11DO";"00";"Basisschool Wilhelmina";"8321JB";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8321";"Urk";"11DO";"00";"Basisschool Wilhelmina";"8321JB";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"30";"30";"28";"24";"31";"35";"23";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8326";"Steenwijkerland";"11DO";"00";"Basisschool Wilhelmina";"8321JB";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8321";"Urk";"11QD";"00";"De Regenboog";"8321XG";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"15";"19";"20";"20";"13";"27";"23";"25";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8322";"Urk";"11QD";"00";"De Regenboog";"8321XG";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8309";"Noordoostpolder";"12KH";"00";"Basisschool C. Zeeman";"8321ZE";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8311";"Noordoostpolder";"12KH";"00";"Basisschool C. Zeeman";"8321ZE";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"<5";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8321";"Urk";"12KH";"00";"Basisschool C. Zeeman";"8321ZE";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"9";"12";"17";"11";"20";"12";"15";"18";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8322";"Urk";"12KH";"00";"Basisschool C. Zeeman";"8321ZE";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"24";"25";"26";"19";"25";"20";"12";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0184";"Urk";"8309";"Noordoostpolder";"12SU";"00";"Basisschool Pr Beatrix";"8322AK";"URK";"Flevoland";"Bo";"Protestants-Christelijk";"53015";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
