"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1581";"Utrechtse Heuvelrug";"1272";"Huizen";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1581";"Utrechtse Heuvelrug";"3404";"IJsselstein";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1581";"Utrechtse Heuvelrug";"3436";"Nieuwegein";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1581";"Utrechtse Heuvelrug";"3437";"Nieuwegein";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1581";"Utrechtse Heuvelrug";"3452";"Utrecht";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1581";"Utrechtse Heuvelrug";"3471";"Woerden";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1581";"Utrechtse Heuvelrug";"3513";"Utrecht";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1581";"Utrechtse Heuvelrug";"3526";"Utrecht";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1581";"Utrechtse Heuvelrug";"3541";"Utrecht";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1581";"Utrechtse Heuvelrug";"3562";"Utrecht";"01KI";"00";"SSVO School De Sprong";"3953MC";"MAARSBERGEN";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
