"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0981";"Vaals";"6286";"Gulpen-Wittem";"06MS";"00";"Basisschool op de Top";"6294AT";"VIJLEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0981";"Vaals";"6291";"Vaals";"06MS";"00";"Basisschool op de Top";"6294AT";"VIJLEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0981";"Vaals";"6294";"Vaals";"06MS";"00";"Basisschool op de Top";"6294AT";"VIJLEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"17";"7";"15";"8";"10";"11";"<5";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0981";"Vaals";"6295";"Vaals";"06MS";"00";"Basisschool op de Top";"6294AT";"VIJLEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0981";"Vaals";"6351";"Simpelveld";"06MS";"00";"Basisschool op de Top";"6294AT";"VIJLEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0981";"Vaals";"6444";"Brunssum";"06MS";"00";"Basisschool op de Top";"6294AT";"VIJLEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0981";"Vaals";"40";"Onbekend";"10KI";"00";"R.K. BS De Kleine Wereld";"6291HS";"VAALS";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0981";"Vaals";"6217";"Maastricht";"10KI";"00";"R.K. BS De Kleine Wereld";"6291HS";"VAALS";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0981";"Vaals";"6271";"Gulpen-Wittem";"10KI";"00";"R.K. BS De Kleine Wereld";"6291HS";"VAALS";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0981";"Vaals";"6291";"Vaals";"10KI";"00";"R.K. BS De Kleine Wereld";"6291HS";"VAALS";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"13";"22";"21";"11";"24";"17";"19";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
