"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0994";"Valkenburg aan de Geul";"6228";"Maastricht";"05YT";"00";"Basisschool Berg";"6325CN";"BERG EN TERBLIJT";"Limburg";"Bo";"Openbaar";"42669";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6301";"Valkenburg aan de Geul";"05YT";"00";"Basisschool Berg";"6325CN";"BERG EN TERBLIJT";"Limburg";"Bo";"Openbaar";"42669";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6325";"Valkenburg aan de Geul";"05YT";"00";"Basisschool Berg";"6325CN";"BERG EN TERBLIJT";"Limburg";"Bo";"Openbaar";"42669";"0";"27";"29";"29";"21";"22";"19";"27";"25";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6255";"Eijsden-Margraten";"10EY";"00";"Basisschool Heilig Hart";"6301AS";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6301";"Valkenburg aan de Geul";"10EY";"00";"Basisschool Heilig Hart";"6301AS";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"12";"8";"9";"<5";"12";"13";"7";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6305";"Valkenburg aan de Geul";"10EY";"00";"Basisschool Heilig Hart";"6301AS";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6307";"Eijsden-Margraten";"10EY";"00";"Basisschool Heilig Hart";"6301AS";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"10";"Belgie";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"40";"Onbekend";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6171";"Stein";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6191";"Beek";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6217";"Maastricht";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6226";"Maastricht";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6231";"Meerssen";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6271";"Gulpen-Wittem";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6301";"Valkenburg aan de Geul";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"31";"29";"36";"31";"41";"37";"40";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6305";"Valkenburg aan de Geul";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6325";"Valkenburg aan de Geul";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"5";"<5";"<5";"<5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6333";"Beekdaelen";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6336";"Beekdaelen";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6342";"Valkenburg aan de Geul";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6367";"Voerendaal";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6412";"Heerlen";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6413";"Heerlen";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6415";"Heerlen";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6416";"Heerlen";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6417";"Heerlen";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"40";"Onbekend";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6001";"Weert";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6002";"Weert";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6003";"Weert";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6017";"Maasgouw";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6031";"Nederweert";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6039";"Weert";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6041";"Roermond";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6042";"Roermond";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6049";"Roermond";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6049";"Roermond";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6051";"Maasgouw";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6061";"Roerdalen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6071";"Roermond";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6086";"Leudal";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6097";"Maasgouw";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6102";"Echt-Susteren";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6104";"Echt-Susteren";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6114";"Echt-Susteren";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6114";"Echt-Susteren";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6118";"Echt-Susteren";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6121";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6122";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6122";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6123";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6124";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6127";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6129";"Stein";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6132";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6132";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6133";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6134";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"So";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6134";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0994";"Valkenburg aan de Geul";"6136";"Sittard-Geleen";"14VR";"00";"Adelante Ond. Mytylsch Encanto";"6301KA";"VALKENBURG LB";"Limburg";"Vso";"Rooms-Katholiek";"74803";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
