"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0858";"Valkenswaard";"10";"Belgie";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0858";"Valkenswaard";"40";"Onbekend";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0858";"Valkenswaard";"5505";"Veldhoven";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0858";"Valkenswaard";"5508";"Veldhoven";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0858";"Valkenswaard";"5509";"Veldhoven";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0858";"Valkenswaard";"5521";"Eersel";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0858";"Valkenswaard";"5527";"Bladel";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0858";"Valkenswaard";"5551";"Valkenswaard";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"10";"11";"23";"13";"13";"22";"7";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0858";"Valkenswaard";"5552";"Valkenswaard";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0858";"Valkenswaard";"5553";"Valkenswaard";"03AP";"00";"Basisschool De Belhamel";"5551EG";"VALKENSWAARD";"Noord-Brabant";"Bo";"Openbaar";"41662";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
