"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0345";"Veenendaal";"3901";"Veenendaal";"03ZD";"00";"GBS De Plantage";"3901SM";"VEENENDAAL";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3902";"Veenendaal";"03ZD";"00";"GBS De Plantage";"3901SM";"VEENENDAAL";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"6";"7";"5";"7";"<5";"5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3903";"Veenendaal";"03ZD";"00";"GBS De Plantage";"3901SM";"VEENENDAAL";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3904";"Veenendaal";"03ZD";"00";"GBS De Plantage";"3901SM";"VEENENDAAL";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3905";"Veenendaal";"03ZD";"00";"GBS De Plantage";"3901SM";"VEENENDAAL";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"6";"6";"7";"5";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3906";"Veenendaal";"03ZD";"00";"GBS De Plantage";"3901SM";"VEENENDAAL";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3907";"Veenendaal";"03ZD";"00";"GBS De Plantage";"3901SM";"VEENENDAAL";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"6745";"Ede";"03ZD";"00";"GBS De Plantage";"3901SM";"VEENENDAAL";"Utrecht";"Bo";"Gereformeerd vrijgemaakt";"40945";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3886";"Barneveld";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3901";"Veenendaal";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3902";"Veenendaal";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3903";"Veenendaal";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3904";"Veenendaal";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"<5";"<5";"5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3905";"Veenendaal";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"<5";"<5";"<5";"<5";"<5";"<5";"7";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3906";"Veenendaal";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3907";"Veenendaal";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3911";"Rhenen";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3921";"Rhenen";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3925";"Scherpenzeel";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3927";"Renswoude";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3956";"Utrechtse Heuvelrug";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"3958";"Utrechtse Heuvelrug";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"6705";"Wageningen";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"6706";"Wageningen";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"6708";"Wageningen";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"6709";"Wageningen";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0345";"Veenendaal";"6713";"Ede";"04AK";"02";"C. P. van Leersumschool";"3902DG";"VEENENDAAL";"Utrecht";"So";"Algemeen bijzonder";"41879";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
