"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0717";"Veere";"4341";"Middelburg";"03CT";"00";"De Golfslag";"4357EN";"DOMBURG";"Zeeland";"Bo";"Openbaar";"42610";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4356";"Veere";"03CT";"00";"De Golfslag";"4357EN";"DOMBURG";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4357";"Veere";"03CT";"00";"De Golfslag";"4357EN";"DOMBURG";"Zeeland";"Bo";"Openbaar";"42610";"0";"10";"10";"5";"13";"5";"15";"18";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4361";"Veere";"03CT";"00";"De Golfslag";"4357EN";"DOMBURG";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4363";"Veere";"03CT";"00";"De Golfslag";"4357EN";"DOMBURG";"Zeeland";"Bo";"Openbaar";"42610";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4365";"Veere";"03CT";"00";"De Golfslag";"4357EN";"DOMBURG";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4381";"Vlissingen";"03CT";"00";"De Golfslag";"4357EN";"DOMBURG";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4382";"Vlissingen";"03CT";"00";"De Golfslag";"4357EN";"DOMBURG";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"3432";"Nieuwegein";"03WV";"00";"Basisschool de Wegwijzer";"4353AN";"SEROOSKERKE GEM VEERE";"Zeeland";"Bo";"Protestants-Christelijk";"40959";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4352";"Veere";"03WV";"00";"Basisschool de Wegwijzer";"4353AN";"SEROOSKERKE GEM VEERE";"Zeeland";"Bo";"Protestants-Christelijk";"40959";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4353";"Veere";"03WV";"00";"Basisschool de Wegwijzer";"4353AN";"SEROOSKERKE GEM VEERE";"Zeeland";"Bo";"Protestants-Christelijk";"40959";"0";"9";"9";"7";"9";"10";"10";"10";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4354";"Veere";"03WV";"00";"Basisschool de Wegwijzer";"4353AN";"SEROOSKERKE GEM VEERE";"Zeeland";"Bo";"Protestants-Christelijk";"40959";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4356";"Veere";"03WV";"00";"Basisschool de Wegwijzer";"4353AN";"SEROOSKERKE GEM VEERE";"Zeeland";"Bo";"Protestants-Christelijk";"40959";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4331";"Middelburg";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4333";"Middelburg";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4335";"Middelburg";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4371";"Veere";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"7";"6";"7";"6";"8";"9";"10";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4374";"Veere";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4382";"Vlissingen";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4383";"Vlissingen";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4384";"Vlissingen";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4385";"Vlissingen";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4386";"Vlissingen";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4387";"Vlissingen";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4388";"Vlissingen";"04GK";"00";"De Sprong";"4371EZ";"KOUDEKERKE";"Zeeland";"Bo";"Openbaar";"42610";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4331";"Middelburg";"04UQ";"00";"Basissch De Goede Polder";"4354AV";"VROUWENPOLDER";"Zeeland";"Bo";"Protestants-Christelijk";"40959";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0717";"Veere";"4353";"Veere";"04UQ";"00";"Basissch De Goede Polder";"4354AV";"VROUWENPOLDER";"Zeeland";"Bo";"Protestants-Christelijk";"40959";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
