"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0861";"Veldhoven";"5021";"Tilburg";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5091";"Oirschot";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5091";"Oirschot";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5096";"Reusel-De Mierden";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5501";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5501";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5502";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5502";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5503";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5503";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5504";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5504";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5505";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5505";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5506";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5506";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5507";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5507";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5508";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"<5";"0";"<5";"0";"5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5508";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5509";"Veldhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5512";"Eersel";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5513";"Eersel";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5513";"Eersel";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5521";"Eersel";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5524";"Eersel";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5527";"Bladel";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5528";"Bladel";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5529";"Bladel";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5531";"Bladel";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5541";"Reusel-De Mierden";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5551";"Valkenswaard";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5551";"Valkenswaard";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5552";"Valkenswaard";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5553";"Valkenswaard";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5554";"Valkenswaard";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5561";"Bergeijk";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5571";"Bergeijk";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5581";"Waalre";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5581";"Waalre";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5582";"Waalre";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5582";"Waalre";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5583";"Waalre";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5583";"Waalre";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5612";"Eindhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5613";"Eindhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5615";"Eindhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"Vso";"Rooms-Katholiek";"77338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0861";"Veldhoven";"5616";"Eindhoven";"00LH";"00";"Prins W Alexanderschool";"5504NC";"VELDHOVEN";"Noord-Brabant";"So";"Rooms-Katholiek";"77338";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
