"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0453";"Velsen";"1921";"Castricum";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0453";"Velsen";"1943";"Beverwijk";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0453";"Velsen";"1945";"Beverwijk";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0453";"Velsen";"1946";"Beverwijk";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0453";"Velsen";"1948";"Beverwijk";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0453";"Velsen";"1951";"Velsen";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0453";"Velsen";"1962";"Heemskerk";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0453";"Velsen";"1971";"Velsen";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"<5";"0";"5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0453";"Velsen";"1972";"Velsen";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"<5";"0";"0";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0453";"Velsen";"1973";"Velsen";"00RL";"13";"Antoniusschool IJmuiden";"1971GZ";"IJMUIDEN";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
