"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0983";"Venlo";"5404";"Maashorst";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"Vso";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0983";"Venlo";"5467";"Meierijstad";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"Vso";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0983";"Venlo";"5652";"Eindhoven";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"Vso";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0983";"Venlo";"5703";"Helmond";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"Vso";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0983";"Venlo";"5708";"Helmond";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"So";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0983";"Venlo";"5711";"Someren";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"Vso";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0983";"Venlo";"5721";"Asten";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"So";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0983";"Venlo";"5721";"Asten";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"Vso";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0983";"Venlo";"5801";"Venray";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"Vso";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0983";"Venlo";"5803";"Venray";"01UQ";"00";"De Wijnberg";"5915HB";"VENLO";"Limburg";"Vso";"Rooms-Katholiek";"85581";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
