"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1961";"Vijfheerenlanden";"2968";"Molenlanden";"02ZF";"00";"obs De Vlindertuin";"4233HG";"AMEIDE";"Utrecht";"Bo";"Openbaar";"41638";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1961";"Vijfheerenlanden";"4231";"Vijfheerenlanden";"02ZF";"00";"obs De Vlindertuin";"4233HG";"AMEIDE";"Utrecht";"Bo";"Openbaar";"41638";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1961";"Vijfheerenlanden";"4233";"Vijfheerenlanden";"02ZF";"00";"obs De Vlindertuin";"4233HG";"AMEIDE";"Utrecht";"Bo";"Openbaar";"41638";"0";"11";"11";"10";"8";"15";"5";"5";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1961";"Vijfheerenlanden";"4235";"Vijfheerenlanden";"02ZF";"00";"obs De Vlindertuin";"4233HG";"AMEIDE";"Utrecht";"Bo";"Openbaar";"41638";"0";"<5";"<5";"5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1961";"Vijfheerenlanden";"1186";"Amstelveen";"03JE";"00";"Basisschool De Ark";"4131AR";"VIANEN UT";"Utrecht";"Bo";"Protestants-Christelijk";"41528";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1961";"Vijfheerenlanden";"3402";"IJsselstein";"03JE";"00";"Basisschool De Ark";"4131AR";"VIANEN UT";"Utrecht";"Bo";"Protestants-Christelijk";"41528";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1961";"Vijfheerenlanden";"4121";"Vijfheerenlanden";"03JE";"00";"Basisschool De Ark";"4131AR";"VIANEN UT";"Utrecht";"Bo";"Protestants-Christelijk";"41528";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1961";"Vijfheerenlanden";"4125";"Vijfheerenlanden";"03JE";"00";"Basisschool De Ark";"4131AR";"VIANEN UT";"Utrecht";"Bo";"Protestants-Christelijk";"41528";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1961";"Vijfheerenlanden";"4131";"Vijfheerenlanden";"03JE";"00";"Basisschool De Ark";"4131AR";"VIANEN UT";"Utrecht";"Bo";"Protestants-Christelijk";"41528";"0";"15";"24";"12";"17";"17";"8";"17";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1961";"Vijfheerenlanden";"4132";"Vijfheerenlanden";"03JE";"00";"Basisschool De Ark";"4131AR";"VIANEN UT";"Utrecht";"Bo";"Protestants-Christelijk";"41528";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
