"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0622";"Vlaardingen";"2624";"Delft";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3114";"Schiedam";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3116";"Schiedam";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3117";"Schiedam";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3118";"Schiedam";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3131";"Vlaardingen";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3132";"Vlaardingen";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3133";"Vlaardingen";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3134";"Vlaardingen";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3135";"Vlaardingen";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"8";"7";"5";"12";"6";"<5";"5";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3136";"Vlaardingen";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3137";"Vlaardingen";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3144";"Maassluis";"03HI";"00";"Het Christal";"3135PS";"VLAARDINGEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"2678";"Westland";"03ZB";"00";"Jenaplan Basisschool";"3135BK";"VLAARDINGEN";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41535";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3118";"Schiedam";"03ZB";"00";"Jenaplan Basisschool";"3135BK";"VLAARDINGEN";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41535";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3131";"Vlaardingen";"03ZB";"00";"Jenaplan Basisschool";"3135BK";"VLAARDINGEN";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41535";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3132";"Vlaardingen";"03ZB";"00";"Jenaplan Basisschool";"3135BK";"VLAARDINGEN";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41535";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0622";"Vlaardingen";"3133";"Vlaardingen";"03ZB";"00";"Jenaplan Basisschool";"3135BK";"VLAARDINGEN";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41535";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
