"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0718";"Vlissingen";"4335";"Middelburg";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4336";"Middelburg";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4337";"Middelburg";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4339";"Middelburg";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4353";"Veere";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4371";"Veere";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4373";"Veere";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4382";"Vlissingen";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4383";"Vlissingen";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4384";"Vlissingen";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4385";"Vlissingen";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4386";"Vlissingen";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"<5";"6";"5";"6";"5";"5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4387";"Vlissingen";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4388";"Vlissingen";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"<5";"6";"9";"<5";"8";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4389";"Vlissingen";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4454";"Borsele";"03IA";"00";"Graaf Jan van Nassau Sch";"4386AK";"VLISSINGEN";"Zeeland";"Bo";"Reformatorisch";"42724";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4331";"Middelburg";"04SC";"00";"Sch Vlissingse Schoolver";"4383WB";"VLISSINGEN";"Zeeland";"Bo";"Algemeen bijzonder";"40340";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4332";"Middelburg";"04SC";"00";"Sch Vlissingse Schoolver";"4383WB";"VLISSINGEN";"Zeeland";"Bo";"Algemeen bijzonder";"40340";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0718";"Vlissingen";"4335";"Middelburg";"04SC";"00";"Sch Vlissingse Schoolver";"4383WB";"VLISSINGEN";"Zeeland";"Bo";"Algemeen bijzonder";"40340";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
