"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0986";"Voerendaal";"6191";"Beek";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6301";"Valkenburg aan de Geul";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6305";"Valkenburg aan de Geul";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6311";"Voerendaal";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6312";"Voerendaal";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6336";"Beekdaelen";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6341";"Valkenburg aan de Geul";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6343";"Voerendaal";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"23";"28";"23";"17";"30";"22";"34";"15";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6361";"Beekdaelen";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6365";"Beekdaelen";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6367";"Voerendaal";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0986";"Voerendaal";"6418";"Heerlen";"03OB";"00";"Basisschool Ummer Clumme";"6343RJ";"KLIMMEN";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
